taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Arthritica,10,0.7402643857924442,8.610956317156198e-4,0.45200466816501844,0.0875566756218812,0.2500986121162306,0.6539107242138062,-6.223774763858551,0.32968915999901166,-6.98403933014826,-5.4635101975688425,0.001981750440718375,9.265529807217003e-4,0.004238651098211823,1.0744014261368233
Capitella,13,0.775971705363034,4.283839367730041e-5,0.6875700426052163,0.10538828785294267,0.4556119849934235,0.919528100217009,-7.602922291094262,0.44979723107934516,-8.59291932175021,-6.612925260438313,4.989911034674361e-4,1.8541401363305013e-4,0.001342898071514841,1.1573812625837954
Hydrobiidae,8,-0.06319079054213428,0.4737366845498364,0.39430118116506613,0.5159866908532763,-0.8682727677168911,1.6568751300470232,-5.280576938786279,0.9207071010459463,-7.533466055768933,-3.0276878218036245,0.0050894936192245645,5.348811122967142e-4,0.048427481742444545,1.4441818899647538
Salinator,20,0.7020939820784686,2.440472464741326e-6,1.6056835030089318,0.237317163999655,1.1070986426345595,2.104268363383304,-6.097896103174751,0.4502820093679312,-7.04390350097986,-5.151888705369642,0.0022475914491377723,8.727132675976325e-4,0.005788461697326136,1.8126831810575919
Simplisetia,13,0.8318309211011281,8.621649071748181e-6,0.6384750864290631,0.08218281428277033,0.45759193177811847,0.8193582410800078,-5.040479082334441,0.26374701167160636,-5.620982341042163,-4.459975823626719,0.006470647602640847,0.003621082223547105,0.011562642826858496,1.154223851763513
