taxa_clean,n,mean_afdm_count,sd_afdm_count,lower_ci_mean_afdm_count,upper_ci_mean_afdm_count,geom_mean,min_afdm_count,median_afdm_count,max_afdm_count,range_count
Arthritica,10,5.308312752894483e-4,5.493836822110198e-4,3.6578741950333784e-4,6.958751310755587e-4,3.163538142428694e-4,6.666666666666666e-5,2.0524228130360206e-4,0.00165,2-171
Capitella,13,1.9264473885082488e-4,1.8392923993715678e-4,1.4418258574559327e-4,2.4110689195605648e-4,1.4359849244368345e-4,5.617283950617284e-5,1.3448275862068965e-4,7.142857142857143e-4,3-343
Hydrobiidae,8,0.002763626482213439,0.0018178152951618864,0.002153066459190481,0.0033741865052363965,0.0019301968952002836,1.2727272727272728e-4,0.0025358695652173916,0.00625,2-23
Salinator,20,0.011812864042207792,0.013164591988916365,0.009016356396797508,0.014609371687618077,0.005485912448588643,2.2e-4,0.005136363636363637,0.0397625,1-35
Simplisetia,13,0.004131879274591384,0.004707642551359516,0.002891497407267637,0.005372261141915131,0.0026471404133610035,4.3488372093023256e-4,0.0023,0.0173,1-129
