Source,Year,Month,Region,Site,Zone,Replicate,Preservation Method,Taxa,raw individual count,WM shell on (g),WM (g),DM (g),AFDM (g),DM/WM,AFDM/DM,AFDM/WM,mesh size (um)
Flinders-HCHB,2020,Mar,NL,LP,P,rep2,Frozen,Soletellina,1,3.4528,2.1026,0.2915,,0.138637877,0,0,500
Flinders-HCHB,2020,Mar,NL,LP,P,rep4,Frozen,Soletellina,1,2.0105,1.2017,0.2097,,0.174502788,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,S,rep2,Frozen,Spisula,1,1.6108,0.8555,0.1081,,0.126358854,0,0,500
Flinders-HCHB,2020,Mar,NL,LP,P,rep5,Frozen,Spisula,1,2.6708,0.5502,0.1258,,0.228644129,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,P,rep1,Frozen,Phyllodoce,6,,0.1557,0.0074,,0.047527296,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,P,rep2,Frozen,Phyllodoce,17,,0.2137,0.0081,,0.037903603,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,P,rep3,Frozen,Phyllodoce,35,,0.802,0.0448,,0.055860349,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,P,rep4,Frozen,Phyllodoce,37,,1.0145,0.109,,0.10744209,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,P,rep5,Frozen,Phyllodoce,5,,0.0757,0.0036,,0.047556143,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,I,rep3,Frozen,Phyllodoce,2,,0.012,0.0008,,0.066666667,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,S,rep1,Frozen,Phyllodoce,3,,0.0373,0.0011,,0.029490617,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,S,rep2,Frozen,Phyllodoce,11,,0.1703,0.0053,,0.03112155,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,S,rep3,Frozen,Phyllodoce,1,,0.0072,1E-04,,0.013888889,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,P,rep5,Frozen,Phyllodoce,2,,0.111,0.0056,,0.05045045,0,0,500
Flinders-HCHB,2020,Mar,NL,LP,P,rep2,Frozen,Phyllodoce,1,,0.1047,0.0007,,0.006685769,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,P,rep3,Frozen,Nephtys,1,,0.2457,0.0157,,0.063899064,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,S,rep2,Frozen,Nephtys,1,,0.0173,0.0011,,0.063583815,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,S,rep2,Frozen,Nephtys,1,,0.1303,0.0077,,0.059094398,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,P,rep1,Frozen,Nephtys,4,,0.3828,0.0316,,0.082549634,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,P,rep2,Frozen,Nephtys,1,,0.282,0.0148,,0.05248227,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,P,rep3,Frozen,Nephtys,1,,0.1374,0.0088,,0.064046579,0,0,500
Flinders-HCHB,2020,Mar,MM,PP,P,rep5,Frozen,Nephtys,4,,0.3615,0.0285,,0.078838174,0,0,500
Flinders-HCHB,2020,Mar,NL,LP,P,rep1,Frozen,Nephtys,1,,0.5936,0.0638,,0.107479784,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,I,rep1,Frozen,Boccardiella,1,,0.0001,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Mar,MM,B19,I,rep3,Frozen,Boccardiella,1,,0.0009,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Mar,NL,LP,I,rep5,Frozen,Boccardiella,1,,0.0023,0.0002,,0.086956522,0,0,500
Flinders-HCHB,2020,Mar,SL,HG,I,rep1,Frozen,Ceratopogonidae,7,,0.0045,0.0015,,0.333333333,0,0,500
Flinders-HCHB,2020,Mar,SL,HG,I,rep3,Frozen,Ceratopogonidae,6,,0.0034,0.0012,,0.352941176,0,0,500
Flinders-HCHB,2020,Mar,SL,HG,I,rep5,Frozen,Ceratopogonidae,1,,0.0005,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Mar,SL,JP,S,rep1,Frozen,Ceratopogonidae,9,,0.0058,0.0026,,0.448275862,0,0,500
Flinders-HCHB,2020,Mar,SL,JP,S,rep2,Frozen,Ceratopogonidae,1,,0.0037,0.0006,,0.162162162,0,0,500
Flinders-HCHB,2020,Mar,SL,JP,S,rep3,Frozen,Ceratopogonidae,3,,0.0015,0.0003,,0.2,0,0,500
Flinders-HCHB,2020,Mar,SL,JP,S,rep5,Frozen,Ceratopogonidae,5,,0.001,0.0006,,0.6,0,0,500
Flinders-HCHB,2020,Mar,SL,JP,S,rep6,Frozen,Ceratopogonidae,3,,0.001,0.0009,,0.9,0,0,500
Flinders-HCHB,2020,Mar,SL,JP,S,rep7,Frozen,Ceratopogonidae,2,,0.001,0.0006,,0.6,0,0,500
Flinders-HCHB,2020,Mar,SL,JP,S,rep8,Frozen,Ceratopogonidae,2,,0.0003,1E-04,,0.333333333,0,0,500
Flinders-HCHB,2020,Mar,SL,SC,S,rep7,Frozen,Ceratopogonidae,1,,1E-04,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Mar,NL,NM,I,rep1,Frozen,Dolichopodidae,1,,0.0014,0.0002,,0.142857143,0,0,500
Flinders-HCHB,2020,Mar,NL,NM,I,rep2,Frozen,Dolichopodidae,2,,0.011,0.0009,,0.081818182,0,0,500
Flinders-HCHB,2020,Mar,NL,NM,I,rep3,Frozen,Dolichopodidae,2,,0.0029,0.0012,,0.413793103,0,0,500
Flinders-HCHB,2020,Mar,SL,JP,S,rep1,Frozen,Haloniscus searlei,1,,0.0051,0.0004,,0.078431373,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,S,rep5,Frozen,Rhynchobdellida,2,,0.0175,0.0002,,0.011428571,0,0,500
Flinders-HCHB,2020,Mar,MM,B19,P,rep1,Frozen,Oligochaeta,13,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Mar,MM,B19,P,rep3,Frozen,Oligochaeta,1,,,,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Mar,MM,B19,P,rep4,Frozen,Oligochaeta,3,,,,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep1,Frozen,Simplisetia,80,,0.0315,0.0016,,0.050793651,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep2,Frozen,Simplisetia,141,,0.1263,0.0101,,0.079968329,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep3,Frozen,Simplisetia,51,,0.0287,0.0024,,0.083623693,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep4,Frozen,Simplisetia,135,,0.0746,0.009,,0.120643432,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep5,Frozen,Simplisetia,44,,0.0167,0.0015,,0.089820359,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep1,Frozen,Simplisetia,5,,0.0048,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep2,Frozen,Simplisetia,1,,,,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep3,Frozen,Simplisetia,7,,0.04,0.0027,,0.0675,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep4,Frozen,Simplisetia,11,,0.0097,0.0002,,0.020618557,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep5,Frozen,Simplisetia,36,,0.0577,0.0031,,0.05372617,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep1,Frozen,Simplisetia,113,,0.9822,0.102,,0.103848503,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep2,Frozen,Simplisetia,149,,0.7722,0.0734,,0.095053095,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep3,Frozen,Simplisetia,131,,0.5848,0.0381,,0.065150479,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep4,Frozen,Simplisetia,205,,0.9883,0.1048,,0.106040676,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep5,Frozen,Simplisetia,274,,0.9861,0.1063,,0.107798398,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep1,Frozen,Simplisetia,33,,0.3491,0.0266,,0.076195932,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep2,Frozen,Simplisetia,51,,0.2707,0.0169,,0.062430735,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep3,Frozen,Simplisetia,57,,0.3754,0.0264,,0.070324987,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep4,Frozen,Simplisetia,56,,0.3399,0.0244,,0.071785819,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep5,Frozen,Simplisetia,62,,0.575,0.0556,,0.096695652,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep1,Frozen,Simplisetia,3,,0.0001,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep2,Frozen,Simplisetia,1,,1E-04,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep3,Frozen,Simplisetia,1,,0.0008,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep4,Frozen,Simplisetia,3,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep5,Frozen,Simplisetia,3,,0.0023,0.0002,,0.086956522,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep1,Frozen,Simplisetia,10,,0.0148,0.0007,,0.047297297,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep2,Frozen,Simplisetia,22,,0.0296,0.0047,,0.158783784,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep3,Frozen,Simplisetia,17,,0.0142,0.0008,,0.056338028,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep4,Frozen,Simplisetia,11,,0.01,0.0011,,0.11,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep5,Frozen,Simplisetia,2,,0.001,0.0004,,0.4,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep1,Frozen,Simplisetia,83,,1.186,0.0981,,0.082715008,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep2,Frozen,Simplisetia,66,,0.4249,0.0342,,0.080489527,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep3,Frozen,Simplisetia,64,,0.6141,0.0577,,0.093958639,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep4,Frozen,Simplisetia,42,,0.0664,0.004,,0.060240964,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep5,Frozen,Simplisetia,66,,0.08,0.0049,,0.06125,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep1,Frozen,Simplisetia,19,,0.209,0.0132,,0.063157895,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep2,Frozen,Simplisetia,23,,0.1278,0.0109,,0.085289515,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep3,Frozen,Simplisetia,11,,0.1543,0.0107,,0.069345431,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep4,Frozen,Simplisetia,21,,0.2604,0.0135,,0.051843318,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep5,Frozen,Simplisetia,42,,0.377,0.0187,,0.049602122,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep1,Frozen,Simplisetia,89,,0.6088,0.064,,0.105124836,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep2,Frozen,Simplisetia,146,,0.7083,0.0597,,0.084286319,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep3,Frozen,Simplisetia,73,,0.3555,0.053,,0.149085795,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep4,Frozen,Simplisetia,87,,0.3959,0.0514,,0.129830765,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep5,Frozen,Simplisetia,90,,0.3171,0.0512,,0.161463261,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep1,Frozen,Simplisetia,1,,0.0006,1E-04,,0.166666667,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep3,Frozen,Simplisetia,1,,0.0052,0.0048,,0.923076923,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep1,Frozen,Capitella,501,,0.0315,0.0034,,0.107936508,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep2,Frozen,Capitella,9,,0.0039,0.0002,,0.051282051,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep3,Frozen,Capitella,3,,0.0006,0.0002,,0.333333333,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep4,Frozen,Capitella,8,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep1,Frozen,Capitella,2,,0.0015,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep2,Frozen,Capitella,1,,0.0028,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep3,Frozen,Capitella,11,,0.0052,0.0005,,0.096153846,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep4,Frozen,Capitella,24,,0.0085,0.0004,,0.047058824,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,S,rep5,Frozen,Capitella,3,,0.0064,0.0001,,0.015625,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep1,Frozen,Capitella,1,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep3,Frozen,Capitella,25,,0.0258,0.0023,,0.089147287,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep4,Frozen,Capitella,14,,0.0156,0.0005,,0.032051282,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep5,Frozen,Capitella,5,,0.0041,0.0007,,0.170731707,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep1,Frozen,Capitella,66,,0.0443,0.0018,,0.040632054,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep2,Frozen,Capitella,145,,0.2627,0.0098,,0.037304911,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep3,Frozen,Capitella,252,,0.3015,0.0175,,0.058043118,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep4,Frozen,Capitella,450,,0.796,0.0252,,0.031658291,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep5,Frozen,Capitella,160,,0.1851,0.0138,,0.074554295,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep1,Frozen,Capitella,1,,1E-04,0.0005,,5,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep2,Frozen,Capitella,2,,0.0002,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep1,Frozen,Capitella,91,,0.0346,0.0022,,0.063583815,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep2,Frozen,Capitella,260,,0.3185,0.0213,,0.066875981,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep3,Frozen,Capitella,386,,0.1708,0.0105,,0.06147541,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep4,Frozen,Capitella,209,,0.1485,0.0075,,0.050505051,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep5,Frozen,Capitella,188,,0.1093,0.0102,,0.093321134,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep1,Frozen,Capitella,523,,0.5869,0.0261,,0.044470949,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep2,Frozen,Capitella,582,,0.275,0.0322,,0.117090909,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep3,Frozen,Capitella,863,,0.7694,0.0346,,0.044970107,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep4,Frozen,Capitella,325,,0.151,0.0113,,0.074834437,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep5,Frozen,Capitella,135,,0.1006,0.0048,,0.047713718,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep1,Frozen,Capitella,85,,0.0175,0.0006,,0.034285714,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep2,Frozen,Capitella,81,,0.0186,0.0019,,0.102150538,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep3,Frozen,Capitella,58,,0.0196,0.0012,,0.06122449,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep4,Frozen,Capitella,49,,0.0137,0.0008,,0.058394161,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,S,rep5,Frozen,Capitella,102,,0.0125,0.001,,0.08,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep1,Frozen,Capitella,103,,0.0158,0.0001,,0.006329114,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep2,Frozen,Capitella,284,,0.1635,0.0083,,0.050764526,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep3,Frozen,Capitella,125,,0.1001,0.0058,,0.057942058,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep4,Frozen,Capitella,227,,0.1193,0.0154,,0.129086337,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,P,rep5,Frozen,Capitella,224,,0.1418,0.0157,,0.110719323,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep1,Frozen,Capitella,44,,0.0357,0.0017,,0.047619048,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep2,Frozen,Capitella,5,,0.0052,0.0002,,0.038461538,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep3,Frozen,Capitella,98,,0.0858,0.0096,,0.111888112,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep4,Frozen,Capitella,3,,0.002,0.0002,,0.1,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep5,Frozen,Capitella,13,,0.0139,0.0002,,0.014388489,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,S,rep1,Frozen,Capitella,69,,0.1636,0.0054,,0.033007335,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,S,rep2,Frozen,Capitella,36,,0.0665,0.0024,,0.036090226,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,S,rep3,Frozen,Capitella,19,,0.0252,0.0008,,0.031746032,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,S,rep4,Frozen,Capitella,89,,0.0329,0.0022,,0.066869301,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,S,rep5,Frozen,Capitella,97,,0.2088,0.0067,,0.032088123,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,P,rep1,Frozen,Capitella,4,,0.0028,0.0002,,0.071428571,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,P,rep3,Frozen,Capitella,1,,0.0026,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,NL,NM,P,rep4,Frozen,Capitella,1,,0.0027,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,NL,NM,P,rep5,Frozen,Capitella,3,,0.011,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,SL,JP,I,rep1,Frozen,Capitella,1,,0.0006,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep1,Frozen,Chironomidae,4,,0.0004,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep2,Frozen,Chironomidae,1,,0.001,0.0004,,0.4,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep3,Frozen,Chironomidae,1,,0.0002,1E-04,,0.5,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep4,Frozen,Chironomidae,2,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep5,Frozen,Chironomidae,1,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep1,Frozen,Chironomidae,1,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep2,Frozen,Chironomidae,1,,0.0006,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep3,Frozen,Chironomidae,3,,0.0004,1E-04,,0.25,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep4,Frozen,Chironomidae,1,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,B19,I,rep5,Frozen,Chironomidae,3,,0.0033,0.0024,,0.727272727,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep1,Frozen,Chironomidae,10,,0.0041,0.0009,,0.219512195,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep2,Frozen,Chironomidae,10,,0.0041,0.0008,,0.195121951,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep3,Frozen,Chironomidae,18,,0.0035,1E-04,,0.028571429,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep4,Frozen,Chironomidae,6,,0.0014,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,PP,I,rep5,Frozen,Chironomidae,1,,0.0016,0.0011,,0.6875,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep2,Frozen,Chironomidae,3,,1E-04,0.0002,,2,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep3,Frozen,Chironomidae,1,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep4,Frozen,Chironomidae,2,,0.0003,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,PP,S,rep5,Frozen,Chironomidae,5,,0.0009,1E-04,,0.111111111,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep1,Frozen,Chironomidae,1,,0.0004,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep2,Frozen,Chironomidae,5,,0.0014,0.0005,,0.357142857,0,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep3,Frozen,Chironomidae,3,,0.0004,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,MM,PP,P,rep4,Frozen,Chironomidae,1,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep1,Frozen,Chironomidae,1,,0.0008,0.0003,,0.375,0,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep3,Frozen,Chironomidae,1,,0.0005,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep4,Frozen,Chironomidae,1,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,NL,LP,I,rep5,Frozen,Chironomidae,1,,0.0004,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep1,Frozen,Chironomidae,8,,0.0026,0.0008,,0.307692308,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep3,Frozen,Chironomidae,10,,0.0035,0.0002,,0.057142857,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep4,Frozen,Chironomidae,1,,0.0003,0.0005,,1.666666667,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,I,rep5,Frozen,Chironomidae,4,,0.0016,0.0002,,0.125,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,S,rep1,Frozen,Chironomidae,2,,0.0003,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,NL,NM,P,rep1,Frozen,Chironomidae,4,,0.0005,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,NL,NM,P,rep2,Frozen,Chironomidae,7,,0.002,0.0006,,0.3,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,P,rep3,Frozen,Chironomidae,70,,0.0401,0.0071,,0.177057357,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,P,rep4,Frozen,Chironomidae,13,,0.0061,0.0008,,0.131147541,0,0,500
Flinders-HCHB,2020,Jun,NL,NM,P,rep5,Frozen,Chironomidae,18,,0.007,0.0004,,0.057142857,0,0,500
Flinders-HCHB,2020,Jun,SL,HG,I,rep1,Frozen,Chironomidae,23,,0.0062,0.0009,,0.14516129,0,0,500
Flinders-HCHB,2020,Jun,SL,HG,I,rep2,Frozen,Chironomidae,91,,0.0265,0.0053,,0.2,0,0,500
Flinders-HCHB,2020,Jun,SL,HG,I,rep3,Frozen,Chironomidae,107,,0.0285,0.0043,,0.150877193,0,0,500
Flinders-HCHB,2020,Jun,SL,HG,I,rep4,Frozen,Chironomidae,76,,0.017,0.0045,,0.264705882,0,0,500
Flinders-HCHB,2020,Jun,SL,HG,I,rep5,Frozen,Chironomidae,23,,0.0071,0.0012,,0.169014085,0,0,500
Flinders-HCHB,2020,Jun,SL,HG,S,rep1,Frozen,Chironomidae,13,,0.0032,0.0006,,0.1875,0,0,500
Flinders-HCHB,2020,Jun,SL,HG,S,rep2,Frozen,Chironomidae,4,,0.0001,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,SL,HG,S,rep3,Frozen,Chironomidae,6,,0.0012,0.0003,,0.25,0,0,500
Flinders-HCHB,2020,Jun,SL,HG,S,rep4,Frozen,Chironomidae,7,,0.0034,0.0009,,0.264705882,0,0,500
Flinders-HCHB,2020,Jun,SL,HG,S,rep5,Frozen,Chironomidae,8,,0.0022,0.0004,,0.181818182,0,0,500
Flinders-HCHB,2020,Jun,SL,JP,I,rep2,Frozen,Chironomidae,203,,0.0489,0.0115,,0.235173824,0,0,500
Flinders-HCHB,2020,Jun,SL,JP,I,rep3,Frozen,Chironomidae,5,,0.0018,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,SL,JP,I,rep4,Frozen,Chironomidae,16,,0.0049,0.0014,,0.285714286,0,0,500
Flinders-HCHB,2020,Jun,SL,JP,I,rep5,Frozen,Chironomidae,16,,0.0043,0.0004,,0.093023256,0,0,500
Flinders-HCHB,2020,Jun,SL,JP,S,rep1,Frozen,Chironomidae,6,,0.0005,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,SL,JP,S,rep2,Frozen,Chironomidae,19,,0.0064,0.0012,,0.1875,0,0,500
Flinders-HCHB,2020,Jun,SL,JP,S,rep3,Frozen,Chironomidae,18,,0.0069,0.0011,,0.15942029,0,0,500
Flinders-HCHB,2020,Jun,SL,JP,S,rep4,Frozen,Chironomidae,7,,0.0014,1E-04,,0.071428571,0,0,500
Flinders-HCHB,2020,Jun,SL,JP,S,rep5,Frozen,Chironomidae,10,,0.0035,0.0009,,0.257142857,0,0,500
Flinders-HCHB,2020,Jun,SL,SC,I,rep2,Frozen,Chironomidae,1,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,500
Flinders-HCHB,2020,Jun,SL,SC,I,rep5,Frozen,Chironomidae,3,,0.0006,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Jun,SL,SC,S,rep3,Frozen,Chironomidae,1,,0.0006,0.0003,,0.5,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep1,Frozen,Amphipoda,264,,0.1329,0.0204,,0.153498871,0,0,500
Flinders-HCHB,2020,Jun,MM,B19,P,rep2,Frozen,Amphipoda,128,,0.0842,0.0133,,0.157957245,0,0,500
