taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_afdm_dm,sd_afdm_dm,lower_ci_mean_afdm_dm,upper_ci_mean_afdm_dm,geom_mean,min_afdm_dm,median_afdm_dm,max_afdm_dm,range_dm,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,32,0.8604612915473561,1.3995259284839807e-14,0.8160325582593588,0.058867465708972035,0.6958091544696676,0.93625596204905,-1.5813131816341175,0.3134214424770561,-2.221405160819212,-0.941221202449023,0.2057047930075895,0.10845660273351312,0.3901510908493546,1.0501962866742247,0.5784804837741488,0.23170575864668055,0.5395683143941266,0.6173926531541711,0.5380467055067668,0.25,0.5,1,0.001-0.033,-2.7536809415250305,11.291153784388714,29.420469951130357,15.273848226527468,15.144086918192599,33.8965003327726
Amphipoda_outliers_removed,27,0.8025459639496253,1.6636402156279807e-10,0.7468858331592736,0.07231367348201256,0.5979530347318549,0.8958186315866923,-2.007642529376963,0.39952512250097083,-2.8304799219611962,-1.1848051367927295,0.1343049216581836,0.05898453889996234,0.3058057639850831,1.0463868459013648,0.5765202904091793,0.23562558935553526,0.5334414328857582,0.6195991479326004,0.53414692411228,0.25,0.5,1,0.001-0.013,-1.3233860913670916,10.631475955226758,30.121475756671817,16.033830601341144,16.137826403062533,35.40171363608557
Arthritica,43,0.9104014866874267,2.6268642189536445e-23,0.9407287418052673,0.045484712670954705,0.8488705010375204,1.0325869825730143,-2.4734553631067655,0.13429596035296926,-2.7446715572043576,-2.2022391690091734,0.08429309197119281,0.06426940630184214,0.11055532893354753,1.0895641729422525,0.1077174597531607,0.05180791664631083,0.1002118581937112,0.1152230613126102,0.09831379101099987,0.04,0.09433962264150944,0.3333333333333333,0.003-0.917,-0.76365736130502615,18.278951118268708,37.8270427214074,7.218320552510778,19.26346826880684,38.72451566142611
Arthritica_outliers_removed,37,0.9283224898585414,7.883381648307986e-22,0.9901245173438448,0.04580525978941418,0.8971348962897885,1.083114138397901,-2.408037213950789,0.13321369367614583,-2.678475389634245,-2.1375990382673327,0.08999175590070484,0.0686677659756804,0.11793766718667155,1.056661311546072,0.09761238107247733,0.033906232515960706,0.0923169382979616,0.10290782384699305,0.0923663090801699,0.04,0.09090909090909091,0.20670391061452514,0.008-0.353,-0.12164738751589972,11.696588009265453,29.065598244537444,0.830134342344393,11.708506478643226,29.270468289272475
Capitella,77,0.8108528195320097,4.686223722214777e-29,0.8914326639334086,0.04931115680304164,0.7931998022497271,0.9896655256170901,-1.2141722327069235,0.2330385854539526,-1.678408900755378,-0.7499355646584691,0.29695572282011695,0.18667075156895427,0.47239699082180187,1.0746784512089809,0.531536825993317,0.20239756635870382,0.5096247498238645,0.5534489021627694,0.4908395241027302,0.11111111111111112,0.5,1,0.001-0.071,-0.32523854919724365,18.433321637623916,38.65430699858775,10.0244059398754,19.633641521649697,39.55021319422617
Capitella_outliers_removed,67,0.7289325371754082,2.620838888683125e-20,0.897140423110477,0.06715269225435914,0.7630272357587143,1.0312536104622398,-1.2021262293184618,0.32665759932770866,-1.8545065040001552,-0.5497459546367686,0.30055448429310255,0.15653017063060504,0.5770964004241032,1.07854409705913,0.5336666724091057,0.20042983877628223,0.5104045904751696,0.5569287543430418,0.4925731987587721,0.11111111111111112,0.5,1,0.002-0.038,-0.9596063289108072,19.496209041508006,40.11253127354838,5.455940851054668,20.241943677295545,40.3424190051996
Chironomidae,41,0.6366987965350457,2.533599358271822e-10,0.9744053889497396,0.11555809088668992,0.7406670877764492,1.20814369012303,-0.8911901437161123,0.6268083578923864,-2.1590297178281945,0.37664943039596976,0.41016730410841895,0.11543707325080203,1.457393302011833,1.0908482214436246,0.5136680775334009,0.19612576582683044,0.484569863813564,0.5427662912532378,0.4708314433172787,0.16666666666666666,0.5,1,0.001-0.023,-3.4039348902087005,21.581625620809675,43.18789693095486,-2.403065268653826,21.628765482226484,42.777993446012914
Chironomidae_outliers_removed,36,0.5076305542895991,6.588200710359608e-7,0.9677653165014409,0.15891755971372604,0.6448059783390505,1.2907246546638314,-0.9631664485508384,0.87187465695186,-2.735028932954525,0.8086960358528483,0.3816823928447059,0.06489212955567442,2.244978705509619,1.0838175019608571,0.49329204745871413,0.17756067921559254,0.46517827324957867,0.5214058216678497,0.4552329774274736,0.16666666666666666,0.5,0.8,0.002-0.011,-1.388947003216345,20.01739189255027,40.68206633115505,-0.7543380708063244,20.057235809743528,40.801226829583314
Hydrobiidae,16,0.7326351667425967,1.4282442289095727e-5,0.6274459624855765,0.09669838362311053,0.42004855654756,0.834843368423593,-3.499359212022801,0.4398733744997158,-4.442793770019274,-2.555924654026328,0.030216739743545024,0.011763029372066034,0.07762042683472169,1.0975141985104757,0.19505485640885312,0.1569593069903746,0.15777702099863916,0.23233269181906707,0.15446779844510564,0.058823529411764705,0.1199712643678161,0.5,0.002-0.091,-9.116363809905433,21.42501450661974,46.54726922151182,57.604323978353314,49.34564717609792,74.96379012499128
Hydrobiidae_outliers_removed,13,0.38758322315263527,0.01365037842805926,0.31545791809818485,0.10760467667347212,0.07862162158341379,0.5522942146129559,-5.11045076651462,0.527993837387867,-6.272557367225153,-3.9483441658040865,0.006033362672683212,0.0018873956422851043,0.019286610779738367,1.0527433439618739,0.212428233995222,0.17039015621252057,0.16753339377940402,0.25732307421104,0.1639031291709491,0.058823529411764705,0.125,0.5,0.002-0.028,-1.4022243869118838,10.749152997449292,30.172260853197336,63.23432717527585,59.04883160667904,87.90602637664489
