taxa_clean,n,mean_afdm_dm,lower_ci_mean_afdm_dm,upper_ci_mean_afdm_dm,sd_afdm_dm,geom_mean,min_afdm_dm,median_afdm_dm,max_afdm_dm,range_dm
Amphipoda,27,0.5765202904091793,0.48330991164865916,0.6697306691696994,0.23562558935553526,0.53414692411228,0.25,0.5,1,0.001-0.013
Arthritica,37,0.09761238107247733,0.08630748031086617,0.10891728183408848,0.033906232515960706,0.0923663090801699,0.04,0.09090909090909091,0.20670391061452514,0.008-0.353
Capitella,67,0.5336666724091057,0.48477799335642124,0.5825553514617902,0.20042983877628223,0.4925731987587721,0.11111111111111112,0.5,1,0.002-0.038
Chironomidae,36,0.49329204745871413,0.4332141570218658,0.5533699378955625,0.17756067921559254,0.4552329774274736,0.16666666666666666,0.5,0.8,0.002-0.011
Hydrobiidae,13,0.212428233995222,0.10946249310250152,0.3153939748879425,0.17039015621252057,0.1639031291709491,0.058823529411764705,0.125,0.5,0.002-0.028
Salinator,12,0.2740590516955768,0.17962835544864728,0.3684897479425064,0.1486232316868287,0.24369701378753025,0.125,0.2153846153846154,0.5384615384615385,0.002-0.096
Salinator (shell removed),12,0.47478516723363967,0.43625959124382313,0.5133107432234563,0.060634897695030096,0.4711958469591483,0.38235294117647056,0.4755208333333334,0.5625,0.045-0.291
Simplisetia,46,0.45001175873655613,0.3925732209806666,0.5074502964924457,0.19341962232887586,0.4152215554908506,0.14285714285714285,0.424812030075188,1,0.002-0.132
Spisula,20,0.6530208428325484,0.5796355420562154,0.7264061436088814,0.15680137143147893,0.6339545318014165,0.38461538461538464,0.6499999999999999,0.8999999999999999,0.003-0.052
