taxa_clean,individual_count,afdm_g,keep_data
Capitella,35,0.002,TRUE
Capitella,178,0.008,TRUE
Capitella,46,0.003,TRUE
Capitella,44,0.002,TRUE
Capitella,35,0.002,TRUE
Capitella,42,0.003,TRUE
Capitella,64,0.005,TRUE
Capitella,32,0.001,TRUE
Capitella,42,0.004,TRUE
Capitella,70,0.005,TRUE
Capitella,49,0.004,TRUE
Capitella,200,0.008,TRUE
Capitella,49,0.003,TRUE
Capitella,155,0.008,TRUE
Capitella,363,0.016,TRUE
Capitella,124,0.009,TRUE
Capitella,137,0.012,FALSE
Capitella,350,0.017,TRUE
Capitella,154,0.007,TRUE
Capitella,127,0.005,TRUE
Capitella,115,0.008,TRUE
Capitella,56,0.002,TRUE
Capitella,50,0.002,TRUE
Capitella,84,0.002,TRUE
Capitella,31,0.002,TRUE
Capitella,67,0.003,TRUE
Capitella,25,0.002,TRUE
Capitella,6,0.001,FALSE
Capitella,56,0.001,TRUE
Capitella,96,0.003,TRUE
Capitella,189,0.011,TRUE
Capitella,64,0.005,TRUE
Capitella,94,0.006,TRUE
Capitella,115,0.003,TRUE
Capitella,96,0.004,TRUE
Capitella,98,0.003,TRUE
Capitella,45,0.004,TRUE
Capitella,260,0.017,FALSE
Capitella,71,0.005,TRUE
Capitella,92,0.008,TRUE
Capitella,65,0.002,TRUE
Capitella,29,0.001,TRUE
Capitella,86,0.002,TRUE
Capitella,96,0.003,TRUE
Capitella,106,0.003,TRUE
Capitella,157,0.009,TRUE
Capitella,51,0.003,TRUE
Capitella,128,0.006,TRUE
Capitella,77,0.004,TRUE
Capitella,66,0.003,TRUE
Capitella,64,0.004,TRUE
Capitella,77,0.005,TRUE
Capitella,45,0.002,TRUE
Capitella,18,0.001,TRUE
Capitella,552,0.016,FALSE
Capitella,459,0.017,TRUE
Capitella,616,0.023,FALSE
Capitella,550,0.019,FALSE
Capitella,583,0.022,FALSE
Capitella,378,0.016,TRUE
Capitella,621,0.024,FALSE
Capitella,375,0.012,TRUE
Capitella,654,0.019,FALSE
Capitella,837,0.028,FALSE
Capitella,403,0.01,FALSE
Capitella,814,0.033,FALSE
Capitella,433,0.012,FALSE
Capitella,551,0.014,FALSE
Capitella,573,0.024,FALSE
Salinator,17,0.002,FALSE
Salinator,7,0.001,TRUE
Salinator,1,0.001,TRUE
Salinator,1,0.021,TRUE
Salinator,2,0.093,FALSE
Salinator,2,0.121,FALSE
Salinator,1,0.003,TRUE
Salinator,3,0.003,TRUE
Salinator,6,0.011,TRUE
Salinator,9,0.016,TRUE
Salinator,2,0.003,TRUE
Salinator,2,0.004,TRUE
Salinator,8,0.023,TRUE
Salinator,3,0.001,TRUE
