taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Arthritica,17,0.9249802119899071,4.722657942368873e-10,0.7881622837390464,0.055973106480452214,0.6688584313677176,0.9074661361103752,-5.878662285036836,0.2072236846734725,-6.320349113563331,-5.436975456510341,0.0027985264028415223,0.001799315231215382,0.0043526280951398395,1.0828961295878783
Capitella,17,0.7215514693231482,9.751672689754777e-6,0.6663218438666405,0.10225573506337152,0.44836890383493655,0.8842747838983445,-7.081414407508895,0.4558662397642683,-8.053070297090487,-6.109758517927301,8.405833797239051e-4,3.181236872818464e-4,0.00222108710076046,1.2263056643555361
Hydrobiidae,13,0.5240175816449347,0.003101732438997538,0.7465718288678193,0.19804279444993161,0.310682577220441,1.1824610805151976,-4.773166491910859,0.42902398878645515,-5.717441924553169,-3.82889105926855,0.008453569574927803,0.0032881113902355793,0.021733703660515285,1.2249691710328736
Salinator,22,0.7229055478443625,3.3119345454622256e-7,1.776770564266368,0.23788499871570515,1.28055115229252,2.272989976240216,-5.165467944508149,0.5103036359497541,-6.2299426761062024,-4.100993212910095,0.005710390068025436,0.001969564796526964,0.016556223378130997,2.061508285065034
Simplisetia,17,0.9029807152541591,3.2814445988096904e-9,0.8067010086426033,0.0658853853095582,0.6662696340655148,0.9471323832196918,-5.277660034744005,0.24190976393808933,-5.793278491156318,-4.762041578331692,0.005104360856346359,0.0030479730253236883,0.008548139873722802,1.1634442823409374
