taxa_clean,n,mean_dm_wm,sd_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm
Arthritica,16,0.6313025699025482,0.11519135015031742,0.6039446242418478,0.6586605155632486,0.6218688142953893,0.5059078377313904,0.5935558128085372,0.8523936170212766,0.004-0.303
Capitella,17,0.17957005041740512,0.07365100074945823,0.1626002084911499,0.19653989234366034,0.17078569491164977,0.10370143774854695,0.16604477611940296,0.44999999999999996,0.005-0.337
Hydrobiidae,13,0.7331744208147,0.14145715480896112,0.6959029228379532,0.7704459187914467,0.7158766065141299,0.33557046979865773,0.7527777777777778,0.8692956349206349,0.008-0.397
Salinator,22,0.5541106152645929,0.12177103566117997,0.5294470268319812,0.5787742036972047,0.5407701665767876,0.2545454545454546,0.533105345383238,0.8681818181818182,0.004-12.661
Simplisetia,17,0.16557626606726092,0.03801244468680116,0.15681786263755218,0.17433466949696966,0.161568720660141,0.10176991150442478,0.1635135135135135,0.25669617841533116,0.011-2.419
