taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Arthritica,16,0.9867855042227319,9.143140919964248e-15,0.9760984126379748,0.02915198420312629,0.9135736249927194,1.0386232002832303,-0.541172988261287,0.09233186943476913,-0.7392051526955447,-0.3431408238270294,0.5820650962600502,0.47749329898669296,0.7095382846276621,1.014403608380306
Capitella,17,0.9622711760247482,2.6815323220639207e-12,0.8843663366079997,0.04372488111350298,0.7911689586289685,0.9775637145870308,-2.061988579239021,0.12711092545404307,-2.332919103533724,-1.7910580549443185,0.12720076941440542,0.09701214486390201,0.16678361005537654,1.0298409527959362
Hydrobiidae,13,0.9613592162738449,2.5056121118375347e-9,1.081257361309339,0.06247301310096149,0.9437551865679122,1.218759536050766,-0.08345897789231978,0.20412872830396844,-0.5327432796377324,0.36582532385309285,0.9199288233164611,0.5869924744243138,1.4417033894657294,1.0220832918923253
Salinator,22,0.9924591510367354,6.452537009913272e-23,1.0057352430637638,0.019127106202650013,0.9658367986730637,1.045633687454464,-0.6060919822765488,0.058453159062116046,-0.7280231354573403,-0.4841608290957573,0.5454784485021457,0.48286260115489255,0.6162140887876736,1.0249606134518754
Simplisetia,17,0.9879021211878833,5.235396606741546e-16,1.046924866991514,0.028952564922744606,0.9852139356441403,1.108635798338888,-1.7699217813346175,0.06210459946933748,-1.9022946016507087,-1.6375489610185263,0.17034631256554175,0.14922581227517848,0.1944560780890046,1.0214529052589632
