taxa_clean,n,mean_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,sd_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm
Arthritica,12,0.6327673980962685,0.559671850506097,0.7058629456864399,0.1150441216314011,0.6237621757496331,0.5059078377313904,0.5935558128085372,0.8523936170212766,0.004-0.254
Capitella,12,0.1668895293044617,0.15298069950350307,0.1807983591054203,0.021890924415033694,0.16556410445738695,0.12272727272727274,0.1653243682577213,0.2160493827160494,0.008-0.256
Hydrobiidae,8,0.7431745772639232,0.6850998537917267,0.8012493007361199,0.06946563413626981,0.7403469391057744,0.6363636363636364,0.7345303362573099,0.8612487611496531,0.018-0.101
Salinator,16,0.5753975874205283,0.5163073397781502,0.6344878350629062,0.11089213491442845,0.56679921147289,0.4401197604790419,0.5418258884812794,0.8681818181818182,0.010-4.184
Simplisetia,14,0.16148953743859198,0.14578533036655947,0.1771937445106245,0.027198951539459216,0.15937648972148,0.11894510226049516,0.15771829521829522,0.20445344129554655,0.016-2.181
