taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Amphipoda,353,0.9778542479817145,1.0361694157621254e-292,0.7891381440795701,0.006329594477733839,0.7766894422378883,0.8015868459212518,-2.165544862791046,0.01156748504021093,-2.188295162645209,-2.1427945629368828,0.11468742865776846,0.11210771120482246,0.1173265081480401,1.0031599461173977
Capitella,322,0.9729650891097897,3.5164394497131036e-253,0.8269668552833779,0.00769361826260951,0.811830392447402,0.8421033181193538,-1.7168762480770812,0.019174732070135217,-1.7546007113221491,-1.6791517848320132,0.1796263806939227,0.1729762959811426,0.18653212833691127,1.0034580077363309
Spisula,45,0.9766647251849603,6.0965274913569996e-37,0.9961247018144951,0.02320615546349914,0.9493250291171882,1.042924374511802,-1.4275678123602797,0.021234418684392128,-1.470391098876231,-1.3847445258443285,0.23989167484106816,0.22983557917006747,0.2503877592227353,1.0028151112069963
