taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,sd_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,353,0.9778542479817145,1.0361694157621254e-292,0.7891381440795701,0.006329594477733839,0.7766894422378883,0.8015868459212518,-2.165544862791046,0.01156748504021093,-2.188295162645209,-2.1427945629368828,0.11468742865776846,0.11210771120482246,0.1173265081480401,1.0031599461173977,0.16654672532679088,0.1631768453063362,0.16991660534724554,0.032192735509358736,0.16414409424475634,0.11782200869366277,0.16028607488430796,0.39999999999999997,0.003-0.607,-0.1717978282132908,0.6331219047700121,6.444054050425995,6.494841971039624,2.6962807162655893,11.770097113046722
Amphipoda_outliers_removed,311,0.9624207732436784,1.894479376163438e-222,0.799100170179372,0.008967769819108611,0.7814545505997376,0.8167457897590064,-2.152410261913819,0.015491384285956516,-2.182892207747157,-2.1219283160804805,0.11620373852212772,0.11271506338291797,0.11980039261163619,1.0025998474054283,0.16351584297554453,0.16132330091717628,0.16570838503391278,0.01965084256066458,0.1623836764232336,0.12829779544633174,0.16032295271049596,0.22872340425531915,0.043-0.379,-0.031840239983585074,0.5228440012009107,6.005669188486429,3.5480719141921977,1.3777800335958066,9.461159358470876
Capitella,322,0.9729650891097897,3.5164394497131036e-253,0.8269668552833779,0.00769361826260951,0.811830392447402,0.8421033181193538,-1.7168762480770812,0.019174732070135217,-1.7546007113221491,-1.6791517848320132,0.1796263806939227,0.1729762959811426,0.18653212833691127,1.0034580077363309,0.2754917875225876,0.2711267247803305,0.27985685026484464,0.039813448606601104,0.2729314653375096,0.19671422395157803,0.2718769921848945,0.5555555555555556,0.004-0.242,8.909795351311774e-4,0.6960397008883386,6.805634238066575,4.606915932774013,1.8139844886268304,10.131188106166043
Capitella_outliers_removed,287,0.9521342990869595,2.351726004516795e-190,0.832774357090519,0.011040004937436817,0.8110440658346129,0.854504648346425,-1.7018271242944816,0.02705791701028308,-1.7550858339366984,-1.6485684146522648,0.18235004329590654,0.1728924016193526,0.19232504134697032,1.0032566864270864,0.2745789291928342,0.2710760884506857,0.27808176993498274,0.030148904527911205,0.2729577523182085,0.21013133208255158,0.2738927738927739,0.3650306748466258,0.026-0.178,0.01688345040694718,0.6550537486997087,6.616106530578372,2.7497432212678437,1.185277108675799,8.81656200830653
Spisula,45,0.9766647251849603,6.0965274913569996e-37,0.9961247018144951,0.02320615546349914,0.9493250291171882,1.042924374511802,-1.4275678123602797,0.021234418684392128,-1.470391098876231,-1.3847445258443285,0.23989167484106816,0.22983557917006747,0.2503877592227353,1.0028151112069963,0.24128515494009023,0.23587067418141205,0.24669963569876843,0.018022241490032835,0.24060697393558517,0.1989814477991997,0.24346405228758167,0.27633136094674554,0.095-1.088,-0.22952034414765277,0.573652486483195,6.206851449782026,-0.15180494203737008,0.5740309539038053,6.194874597801962
Spisula_outliers_removed,37,0.9619835332411633,1.174723255214912e-26,1.0099055773254724,0.03344208413737184,0.9420145371809788,1.077796617469966,-1.4182320690957961,0.029292957292768353,-1.477699933937744,-1.3587642042538484,0.24214172854840735,0.22816187270354568,0.256978153315707,1.002566420274695,0.24085575868901934,0.23509843555350204,0.24661308182453665,0.017267655950174765,0.24023844305897976,0.20187793427230044,0.24346405228758167,0.27633136094674554,0.169-0.840,-0.0476706444528881,0.5203388677329769,5.982402103218755,-0.16118508928678643,0.521640470225896,6.02486882217936
