taxa_clean,n,r2,pval,Slope,Slope_lowCI,Slope_highCI,Int,Int_lowCI,Int_highCI,a,a_low_ci,a_high_ci,sf
Amphipoda,219,0.93347707539084,1.0975052032488633e-129,0.9710708827333681,0.9381382043493601,1.0051596395080824,-0.8571670591582379,-0.9010884536771692,-0.8132456646393066,0.1389418063837565,0.12557741714610643,0.15372848080416046,1.0467307168172089
Arthritica,247,0.9869995641733114,4.672791752070879e-233,1.0355699896928612,1.0208181089053365,1.0505350504630595,-0.2541611541393528,-0.271345148913712,-0.23697715936499367,0.556979031748372,0.53537101045478,0.5794591708352448,1.0154819472085914
Capitella,105,0.7233552739898408,1.668118393518441e-30,0.8450127441901897,0.7626112425546021,0.9363178746905376,-1.3860501160169627,-1.49425020050953,-1.2778500315243955,0.041110227864688285,0.03204422699193331,0.05274119533331355,1.1313981213858932
Chironomidae,130,0.8394780112281138,1.0940967085769944e-52,0.9059551385983292,0.844695664674693,0.9716573050825411,-0.8319439835139826,-0.9454829098360387,-0.7184050571919265,0.14725024175599363,0.11337494520335206,0.19124713717222153,1.071133276592018
Hiatula alba,33,0.9623215313145533,1.2303502553405644e-23,1.0424208494112936,0.9709326268600091,1.119172635903229,-0.8438434755486871,-0.9074044678717756,-0.7802824832255986,0.1432704168386775,0.12376434054717968,0.16585077939556928,1.056315490291543
Hydrobiidae,138,0.9905404474998026,1.568940124873872e-139,1.0308777436348973,1.0140158298199062,1.0480200516302776,-0.22479444201470655,-0.24708409309583115,-0.20250479093358195,0.5959441459418438,0.5661296578846925,0.6273287755482495,1.0081336197550785
Mysidacea,44,0.7286240651667597,1.8108049706144646e-13,0.9377274235564594,0.7978688249993083,1.1021018660437045,-0.8917086790648685,-1.161173425690742,-0.622243932438995,0.12831910473446953,0.0689964227193243,0.23864704851203933,1.050449874032812
Nephtys,35,0.9071109128365705,1.3511970990021531e-18,0.9904203556700842,0.8892665270841011,1.1030804050863434,-1.1687988026296472,-1.247627221040617,-1.0899703842186774,0.06779555140769193,0.05654220996195276,0.08128859472889025,1.0176309894182587
Phyllodoce,21,0.8880379307139652,1.7629349226445703e-10,1.1597396752827631,0.9882788656166112,1.3609479684519945,-1.1335348916678896,-1.290354724992335,-0.9767150583434441,0.07353009182659365,0.051244265780061055,0.10550789091666544,1.0369082931452511
Salinator,65,0.9899878370584998,1.0454255760984432e-64,0.9944731553074009,0.969735872299199,1.0198414690819257,-0.40764520097782864,-0.4401115677419136,-0.37517883421374365,0.39116032565489883,0.3629847940962207,0.421522892570225,1.0112331451326582
Simplisetia,169,0.8960362608501884,5.285780519630319e-84,1.0883334766731108,1.0360423959535352,1.1432637902402039,-1.0495131002660125,-1.0932502155942452,-1.0057759849377799,0.08922507049058195,0.08067700816323567,0.09867883533734187,1.0809355512110752
Spisula,36,0.8175240206925481,4.11717943234524e-14,0.9686343515751987,0.8350993997717239,1.1235219511689014,-0.824420745805069,-0.9729156436148029,-0.6759258479953351,0.14982326398659943,0.10643497350506884,0.21089882105837376,1.2039033988822343
