taxa_clean,n,mean_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,sd_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm
Amphipoda,353,0.16654672532679088,0.1631768453063362,0.16991660534724554,0.032192735509358736,0.16414409424475634,0.11782200869366277,0.16028607488430796,0.39999999999999997,0.003-0.607
Capitella,322,0.2754917875225876,0.2711267247803305,0.27985685026484464,0.039813448606601104,0.2729314653375096,0.19671422395157803,0.2718769921848945,0.5555555555555556,0.004-0.242
Spisula,45,0.24128515494009023,0.23587067418141205,0.24669963569876843,0.018022241490032835,0.24060697393558517,0.1989814477991997,0.24346405228758167,0.27633136094674554,0.095-1.088
