taxa_clean,n,mean_dm_wm,sd_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm
Amphipoda,33,0.25055637638491324,0.12177067758885536,0.2304186999720485,0.270694052797778,0.2273655872197621,0.09090909090909091,0.2105263157894737,0.6666666666666666,0.002-0.073
Arthritica,41,0.6250957474852593,0.05554482409634799,0.6168548355593201,0.6333366594111985,0.6227219115752883,0.5238095238095237,0.6262626262626262,0.7936507936507937,0.009-0.478
Capitella,65,0.28602594717910124,0.09299721458129244,0.2750678065923813,0.2969840877658212,0.27264620423438896,0.1639344262295082,0.25,0.6,0.007-0.163
Chironomidae,59,0.35204784747239737,0.17480567293920138,0.3304279752888339,0.37366771965596085,0.3175489248158535,0.125,0.2857142857142857,1,0.002-0.045
Salinator,14,0.5113385706720384,0.11517972623323262,0.4820946478296229,0.5405824935144539,0.5000298431266943,0.3333333333333333,0.5086206896551724,0.8297872340425532,0.003-0.178
Salinator (shell removed),11,0.32457679929937955,0.038912869340648616,0.31343076132091563,0.33572283727784347,0.3225688615788444,0.28185328185328185,0.31596091205211724,0.39534883720930236,0.141-0.921
Simplisetia,49,0.28829019110842435,0.08368222869608326,0.2769333172139559,0.2996470650028928,0.2766728178151063,0.125,0.27272727272727276,0.5,0.006-0.619
Spisula,19,0.24079184886653984,0.0636778628668211,0.2269135804076841,0.2546701173253956,0.23294527453859856,0.15151515151515152,0.22794117647058823,0.375,0.008-0.168
Truncatelloidea,28,0.5363996512349956,0.11348518731813469,0.5160253009509458,0.5567740015190453,0.5231739348554414,0.2857142857142857,0.5659420289855073,0.6923076923076923,0.003-0.043
