taxa_clean,n,mean_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,sd_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm
Amphipoda,37,0.2414399939915897,0.20168872117201583,0.2811912668111635,0.11922403632261251,0.21872877103246777,0.09090909090909091,0.2096774193548387,0.6666666666666666,0.002-0.256
Arthritica,49,0.6223584051517026,0.6055639329389456,0.6391528773644596,0.058469746951062135,0.6197035529721105,0.5,0.6215139442231076,0.7936507936507937,0.006-1.231
Capitella,79,0.28865185411849353,0.2596629343160493,0.3176407739209377,0.12942187232185912,0.2685289445371143,0.11111111111111112,0.25,1,0.002-0.402
Chironomidae,65,0.3563983651497735,0.3114796383647613,0.40131709193478576,0.18127895948456482,0.3193951814710253,0.125,0.2857142857142857,1,0.002-0.116
Hydrobiidae,33,0.5569729042598622,0.5150791233367349,0.5988666851829896,0.11814890741806876,0.5430613043768565,0.2857142857142857,0.5789473684210527,0.7857142857142857,0.003-0.146
Salinator,17,0.5337371805392978,0.46462248385358,0.6028518772250155,0.13442449284051683,0.5187166386897569,0.3333333333333333,0.5172413793103448,0.8297872340425532,0.003-0.291
Salinator (shell removed),15,0.3329191201557708,0.3089241558816018,0.35691408442993977,0.04332929589231946,0.3304361466302427,0.28185328185328185,0.3191489361702128,0.4265402843601896,0.096-1.271
Simplisetia,57,0.28486503423725873,0.2631037273270574,0.3066263411474601,0.08201423958755415,0.27366057066727806,0.125,0.27101631116687575,0.5,0.004-0.935
Spisula,23,0.23242359375707006,0.20454919172183386,0.2602979957923063,0.0644595554293897,0.22416098417850114,0.15151515151515152,0.2207792207792208,0.375,0.006-0.464
