taxa_clean,wm_shell_on_g,wm_g,keep_data
Arthritica - flesh,0.2528,0.0498,TRUE
Arthritica - flesh,0.1721,0.0353,TRUE
Arthritica - flesh,0.3402,0.0622,FALSE
Arthritica - flesh,0.0674,0.0113,FALSE
Arthritica - flesh,0.0994,0.0155,TRUE
Arthritica - flesh,0.0889,0.0145,TRUE
Arthritica - flesh,0.0802,0.0131,TRUE
