taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Arthritica,14,0.7734333201314569,2.0843474533980795e-5,0.6864427987512722,0.10190147565705716,0.46441855622765327,0.9084670412748912,-2.7617543091801062,0.3071044734137947,-3.4308774759022804,-2.092631142457932,0.06318083236584979,0.0323585344775727,0.12336212510514938,1.1477241127924576
Capitella,18,0.9017773998365888,1.093438274939097e-9,0.8263513991666283,0.06593401076874533,0.6865775403390538,0.9661252579942027,-2.562425032355371,0.2063563742644276,-2.9998810036866157,-2.1249690610241263,0.07711750106903108,0.04979299319796341,0.11943666345760576,1.0793601333065734
Hydrobiidae,12,0.8014117983719791,5.12213175130845e-5,1.1138398021736486,0.16532473505792805,0.7454733367967419,1.4822062675505554,-1.1258506360127842,0.5514928726489413,-2.354653332155409,0.10295206012984015,0.3243764237009585,0.09492640876474225,1.1084382694155472,1.1620460241018025
Salinator,21,0.8166439615158279,1.2128913770857676e-8,0.7855086656676935,0.08276430238863172,0.6122809899219642,0.9587363414134228,-2.3685658004952472,0.24122620899436725,-2.873458058474184,-1.8636735425163105,0.09361489247694087,0.05650319699353487,0.15510180945109978,1.272662196500879
Simplisetia,17,0.9854465737497756,2.095635929100725e-15,0.9250565518169038,0.028091442159034186,0.8651810601929117,0.9849320434408959,-2.2628320757855787,0.060257451056861186,-2.391267792457316,-2.1343963591138415,0.10405537435842957,0.09151359006240006,0.1183159891934083,1.0203547345557684
