taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Arthritica,10,0.7067111377255213,0.0014212604290352302,0.5983060217497381,0.12561453851390106,0.30863837649491926,0.887973667004557,-3.159752918842431,0.36275877794650263,-3.996276160868676,-2.323229676816186,0.042436224976861565,0.01838397053060143,0.0979567056686255,1.084140945490576
Capitella,13,0.878814256909897,1.3931892066939771e-6,0.8773755748316461,0.0935171012233304,0.6715458228243082,1.0832053268389839,-2.4645058559198314,0.28016249349559263,-3.081139346517901,-1.8478723653217617,0.0850508593682896,0.04590692294878663,0.15757206570682974,1.0775298785941008
Hydrobiidae,8,0.8871606798092505,2.9363569568738437e-4,1.1885772177048555,0.15878054007465436,0.800055232464985,1.577099202944726,-0.9388035780093986,0.5117731555449605,-2.19106737741022,0.3134602213914228,0.3910954707797537,0.11179735493842276,1.3681510385347149,1.0509070319096603
Salinator,18,0.9605853414660841,7.161642118447092e-13,0.8976718248365203,0.04404844240963022,0.8042932983499029,0.9910503513231377,-2.037981170578848,0.12212683787808828,-2.2968785013737425,-1.779083839783954,0.13029148182114947,0.1005722905231206,0.16879271762482465,1.0891729632000566
Simplisetia,14,0.9921089052669597,3.380049589525208e-14,0.8734772612050344,0.021599120353796044,0.8264168206686571,0.9205377017414118,-2.3206072615035085,0.043585441768235325,-2.4155717812148536,-2.2256427417921634,0.09821392595534971,0.08931625496195233,0.10799798150596425,1.007783828000994
