taxa_clean,n,mean_afdm_dm,lower_ci_mean_afdm_dm,upper_ci_mean_afdm_dm,sd_afdm_dm,geom_mean,min_afdm_dm,median_afdm_dm,max_afdm_dm,range_dm
Arthritica,14,0.24522174649864706,0.1727296904060131,0.31771380259128107,0.1255528478206777,0.21386638524397297,0.05121951219512195,0.20243370039747183,0.5038167938931297,0.002-0.177
Capitella,17,0.6924050663792622,0.6094574050663207,0.7753527276922036,0.1613288900767649,0.6739911914724248,0.44444444444444436,0.7020648967551623,1,0.001-0.053
Hydrobiidae,12,0.3583082180954122,0.24081644908320765,0.4757999871076168,0.18491875101221678,0.3214007828123441,0.09523809523809523,0.3419099951869084,0.88339222614841,0.005-0.328
Salinator,21,0.2810055696724206,0.22210985470211442,0.33990128464272673,0.12938581081740916,0.22242110689118577,0.002833072392455081,0.23803235391218222,0.55,0.002-6.706
Simplisetia,16,0.7060103741259715,0.6061170731235792,0.8059036751283637,0.18746547617885578,0.6815370307989301,0.4130781499202552,0.7107538112570554,0.9565217391304348,0.001-0.473
