taxa_clean,wm_g,dm_g,keep_data
Amphipoda,0.0174,0.0024,TRUE
Amphipoda,0.0674,0.0082,TRUE
Amphipoda,0.0188,0.0037,TRUE
Amphipoda,0.1414,0.0226,TRUE
Amphipoda,0.1811,0.0282,TRUE
Amphipoda,0.0154,0.0022,TRUE
Amphipoda,0.1878,0.0227,TRUE
Amphipoda,0.1767,0.0253,TRUE
Amphipoda,0.1774,0.0204,TRUE
Amphipoda,0.1484,0.0192,TRUE
Amphipoda,0.3906,0.0286,FALSE
Amphipoda,0.0292,0.0045,TRUE
Amphipoda,0.1792,0.0255,TRUE
Amphipoda,0.0414,0.0061,TRUE
Amphipoda,0.1121,0.0191,TRUE
Amphipoda,0.0519,0.0086,TRUE
Amphipoda,0.0435,0.0054,TRUE
Amphipoda,0.0641,0.0088,TRUE
Amphipoda,0.0362,0.005,TRUE
Amphipoda,0.0129,0.0019,TRUE
Amphipoda,0.0575,0.0074,TRUE
Amphipoda,0.0101,0.0082,TRUE
Amphipoda,0.1329,0.0204,TRUE
Amphipoda,0.0842,0.0133,TRUE
Amphipoda,0.0573,0.0092,TRUE
Amphipoda,0.1222,0.0225,TRUE
Amphipoda,0.0499,0.0085,TRUE
Amphipoda,0.0933,0.0125,TRUE
Amphipoda,0.0217,0.0019,TRUE
Amphipoda,0.0452,0.0059,TRUE
Amphipoda,0.0683,0.012,TRUE
Amphipoda,0.1447,0.0201,TRUE
Amphipoda,0.0652,0.0149,TRUE
Amphipoda,0.1646,0.029,TRUE
Amphipoda,0.0765,0.0127,TRUE
Amphipoda,0.1468,0.0202,TRUE
Amphipoda,0.0649,0.0096,TRUE
Amphipoda,0.0307,0.0061,TRUE
Amphipoda,1.0976,0.2392,FALSE
Amphipoda,0.1942,0.0376,TRUE
Amphipoda,0.1469,0.0233,TRUE
Amphipoda,0.9729,0.1486,FALSE
Amphipoda,0.2349,0.0374,TRUE
Amphipoda,0.206,0.0339,TRUE
Amphipoda,0.4173,0.0701,TRUE
Amphipoda,0.4236,0.0691,TRUE
Amphipoda,0.446,0.072,TRUE
Amphipoda,0.3434,0.0492,TRUE
Amphipoda,0.1385,0.0224,TRUE
Amphipoda,0.1495,0.0193,TRUE
Amphipoda,0.191,0.0282,TRUE
Amphipoda,0.233,0.032,TRUE
Amphipoda,0.2509,0.0333,TRUE
Amphipoda,0.2086,0.0387,TRUE
Amphipoda,0.2549,0.0336,TRUE
Amphipoda,0.1233,0.0191,TRUE
Amphipoda,0.0844,0.0152,TRUE
Amphipoda,0.2186,0.033,TRUE
Amphipoda,0.1825,0.0274,TRUE
Amphipoda,0.3627,0.0567,TRUE
Amphipoda,0.2212,0.0372,TRUE
Amphipoda,0.2295,0.0296,TRUE
Amphipoda,0.2309,0.0397,TRUE
Amphipoda,0.0215,0.0039,TRUE
