taxa_clean,wm_g,dm_g
Hydrobiidae,0.2468,0.1383
Hydrobiidae,0.0551,0.0278
Hydrobiidae,0.1353,0.0748
Hydrobiidae,0.0422,0.024
Hydrobiidae,0.0296,0.0161
Hydrobiidae,0.0432,0.0222
Hydrobiidae,0.5163,0.3067
Hydrobiidae,0.0243,0.0125
Hydrobiidae,0.0424,0.0214
Hydrobiidae,0.3447,0.1904
Hydrobiidae,0.0124,0.0078
Hydrobiidae,0.0269,0.011
Hydrobiidae,0.056,0.0249
Hydrobiidae,0.118,0.0648
Hydrobiidae,0.1097,0.0591
Hydrobiidae,0.1665,0.0941
Hydrobiidae,0.01,0.0044
Hydrobiidae,0.007,0.0029
Hydrobiidae,0.1364,0.0802
Hydrobiidae,0.2727,0.122
Hydrobiidae,0.0153,0.0096
Hydrobiidae,0.0365,0.0209
Hydrobiidae,0.0183,0.0102
Hydrobiidae,0.017,0.0114
Hydrobiidae,0.0957,0.042
Hydrobiidae,0.039,0.0154
Hydrobiidae,0.0132,0.007
Hydrobiidae,0.029,0.0141
Hydrobiidae,0.1294,0.0635
Salinator,0.0222,0.0084
Salinator,0.366,0.1445
Salinator,0.0079,0.0036
Salinator,0.0132,0.0036
Salinator,0.0073,0.003
Salinator,0.0068,0.0019
Salinator,0.0161,0.0045
Salinator,0.5356,0.201
Salinator,0.2582,0.1182
Salinator,0.4869,0.1759
Salinator,0.1766,0.0659
Salinator,0.1799,0.0784
Salinator,0.6032,0.2449
Salinator,0.0034,0.002
Salinator,0.0197,0.0096
Salinator,0.3776,0.1564
Salinator,0.0113,0.0057
Salinator,0.0075,0.0034
Salinator,0.0255,0.01
Salinator,0.0525,0.0234
Salinator,0.0412,0.0171
Salinator,0.0213,0.0081
Salinator,0.0617,0.0264
Salinator,0.0257,0.0068
Salinator,0.1159,0.033
Salinator,0.0451,0.0197
Salinator,0.0125,0.0047
Salinator,0.3727,0.1409
Salinator,0.0136,0.0065
Salinator,0.1565,0.0667
Salinator,0.1068,0.0381
Salinator,0.4485,0.1816
Salinator,0.6782,0.2793
Salinator,0.3252,0.1431
Salinator,0.6694,0.2823
Salinator,0.0861,0.0354
Salinator,0.3865,0.1668
Salinator,0.049,0.0221
Salinator,0.0056,0.0031
Salinator,0.013,0.0051
Salinator,0.1292,0.0402
Salinator,0.0481,0.0199
Salinator,0.0218,0.0087
Salinator,0.3965,0.1446
Salinator,0.1142,0.0384
Salinator,0.264,0.0999
Salinator,0.0416,0.0187
Salinator,0.094,0.0304
Salinator,0.3059,0.1362
Salinator,0.2004,0.0821
Salinator,0.3224,0.1068
Salinator,0.2815,0.1019
Salinator,0.0149,0.0063
Salinator,0.2062,0.0769
Salinator,0.1496,0.0848
Salinator,0.1852,0.0682
Salinator,0.2165,0.0774
Salinator,0.4385,0.1717
Salinator,0.2218,0.0844
Salinator,0.279,0.1061
Phyllodoce,0.23,0.0122
Phyllodoce,0.1301,0.0045
Phyllodoce,0.1456,0.0099
Phyllodoce,0.1581,0.0108
Phyllodoce,0.3147,0.0197
Phyllodoce,0.0602,0.0032
Phyllodoce,0.1571,0.013
Phyllodoce,0.2287,0.0099
Phyllodoce,0.24,0.0129
Phyllodoce,0.1843,0.0156
Phyllodoce,0.189,0.0112
Phyllodoce,0.1557,0.0074
Phyllodoce,0.2137,0.0081
Phyllodoce,0.0757,0.0036
Phyllodoce,0.1703,0.0053
Phyllodoce,0.111,0.0056
Phyllodoce,0.0341,0.0024
Phyllodoce,0.0535,0.0022
Phyllodoce,0.5191,0.0354
Phyllodoce,0.2867,0.0185
Phyllodoce,0.6573,0.0513
Nephtys,0.1104,0.0061
Nephtys,0.0957,0.0073
Nephtys,0.1328,0.0076
Nephtys,0.6461,0.0396
Nephtys,0.2462,0.0145
Nephtys,0.3121,0.0278
Nephtys,0.1525,0.011
Nephtys,0.2457,0.0157
Nephtys,0.1303,0.0077
Nephtys,0.3828,0.0316
Nephtys,0.282,0.0148
Nephtys,0.1374,0.0088
Nephtys,0.3615,0.0285
Nephtys,0.1772,0.0135
Nephtys,0.5949,0.037
Nephtys,0.616,0.0415
Nephtys,0.4803,0.0293
Nephtys,0.3309,0.0199
Nephtys,0.0997,0.0083
Nephtys,0.2251,0.0174
Nephtys,0.0879,0.0057
Nephtys,0.1893,0.0148
Nephtys,0.1453,0.0106
Nephtys,0.0892,0.0075
Nephtys,0.0892,0.0075
Nephtys,0.1297,0.0112
Nephtys,0.1618,0.0097
Nephtys,0.2677,0.0221
Nephtys,0.5897,0.0399
Nephtys,0.1051,0.0044
Nephtys,0.0767,0.0076
Nephtys,0.167,0.014
Nephtys,0.3386,0.0151
Nephtys,0.373,0.0278
Nephtys,0.2395,0.0165
Capitella,0.0052,0.0018
Capitella,0.0252,0.001
Capitella,0.0295,0.001
Capitella,0.0194,0.0015
Capitella,0.1212,0.0074
Capitella,0.0312,0.0016
Capitella,0.0907,0.0098
Capitella,0.2818,0.0137
Capitella,0.2619,0.0141
Capitella,0.1671,0.0111
Capitella,0.0593,0.0036
Capitella,0.2022,0.0098
Capitella,0.2399,0.0118
Capitella,0.4026,0.0154
Capitella,0.2582,0.0121
Capitella,0.1702,0.0055
Capitella,0.1534,0.0088
Capitella,0.1438,0.0068
Capitella,0.249,0.0134
Capitella,0.0154,0.001
Capitella,0.4005,0.0169
Capitella,0.1483,0.0042
Capitella,0.1167,0.0041
Capitella,0.0535,0.0037
Capitella,0.1834,0.0038
Capitella,0.0648,0.0032
Capitella,0.0274,0.0014
Capitella,0.0973,0.004
Capitella,0.0341,0.0018
Capitella,0.0791,0.004
Capitella,0.054,0.0016
Capitella,0.0787,0.0019
Capitella,0.0638,0.0027
Capitella,0.0719,0.0055
Capitella,0.1003,0.0086
Capitella,0.2808,0.0181
Capitella,0.1583,0.0127
Capitella,0.147,0.008
Capitella,0.0924,0.0032
Capitella,0.0527,0.002
Capitella,0.0315,0.0034
Capitella,0.0258,0.0023
Capitella,0.0443,0.0018
Capitella,0.2627,0.0098
Capitella,0.3015,0.0175
Capitella,0.1851,0.0138
Capitella,0.0346,0.0022
Capitella,0.3185,0.0213
Capitella,0.1708,0.0105
Capitella,0.1485,0.0075
Capitella,0.1093,0.0102
Capitella,0.275,0.0322
Capitella,0.151,0.0113
Capitella,0.1006,0.0048
Capitella,0.0186,0.0019
Capitella,0.0196,0.0012
Capitella,0.0125,0.001
Capitella,0.1635,0.0083
Capitella,0.1001,0.0058
Capitella,0.1193,0.0154
Capitella,0.1418,0.0157
Capitella,0.0357,0.0017
Capitella,0.0858,0.0096
Capitella,0.1636,0.0054
Capitella,0.0665,0.0024
Capitella,0.0329,0.0022
Capitella,0.2088,0.0067
Capitella,0.0237,0.0026
Capitella,0.0193,0.003
Capitella,0.0163,0.0023
Capitella,0.0444,0.0051
Capitella,0.0242,0.0014
Capitella,0.0175,0.0014
Capitella,0.0379,0.0015
Capitella,0.0494,0.0047
Capitella,0.012,0.001
Capitella,0.0336,0.0011
Capitella,0.0288,0.0038
Capitella,0.0965,0.005
Capitella,0.1324,0.0095
Capitella,0.098,0.0067
Capitella,0.043,0.0029
Capitella,0.1239,0.0078
Capitella,0.049,0.0033
Capitella,0.0394,0.002
Capitella,0.0206,0.0024
Capitella,0.3193,0.0173
Capitella,0.0493,0.0028
Capitella,0.0176,0.0028
Capitella,0.0328,0.0017
Capitella,0.0422,0.0032
Capitella,0.1453,0.0049
Capitella,0.0415,0.0045
Capitella,0.0547,0.0024
Capitella,0.0428,0.004
Capitella,0.1025,0.0045
Capitella,0.0236,0.0014
Capitella,0.1042,0.0093
Capitella,0.0887,0.0049
Capitella,0.0341,0.0011
Capitella,0.2209,0.0073
Capitella,0.1768,0.0066
Capitella,0.2086,0.0146
Capitella,0.218,0.0178
Paragrapsus,0.1033,0.0322
Paragrapsus,0.077,0.0265
Soletellina,0.0482,0.0045
Soletellina,0.7017,0.1273
Soletellina,0.5483,0.1202
Soletellina,0.0453,0.0057
Soletellina,0.0216,0.0022
Soletellina,0.0715,0.0052
Soletellina,0.0172,0.0058
Soletellina,0.0157,0.003
Soletellina,0.2349,0.0417
Soletellina,0.1226,0.0118
Soletellina,1.6241,0.238
Soletellina,1.0929,0.1051
Soletellina,0.3294,0.0359
Soletellina,0.1595,0.0186
Soletellina,2.2,0.332
Soletellina,2.0391,0.3561
Soletellina,0.1805,0.0276
Soletellina,1.0084,0.1272
Soletellina,1.6231,0.2605
Soletellina,1.5227,0.2029
Soletellina,2.1026,0.2915
Soletellina,1.2017,0.2097
Soletellina,0.4661,0.0453
Soletellina,0.2153,0.0382
Soletellina,0.246,0.0389
Soletellina,0.0721,0.0095
Soletellina,0.3382,0.0593
Soletellina,0.0761,0.0116
Soletellina,0.3,0.0281
Soletellina,1.9817,0.2396
Soletellina,1.0287,0.1449
Soletellina,0.0213,0.0015
Soletellina,1.9317,0.2631
Spisula,0.4231,0.0626
Spisula,0.6251,0.0613
Spisula,0.1697,0.0289
Spisula,0.6106,0.1101
Spisula,0.7517,0.1869
Spisula,0.6516,0.1699
Spisula,0.8555,0.1081
Spisula,0.5502,0.1258
Spisula,0.106,0.0075
Spisula,0.5133,0.0835
Spisula,0.8432,0.0975
Spisula,0.6821,0.0714
Spisula,0.0727,0.0041
Spisula,0.1001,0.007
Spisula,0.3419,0.0414
Spisula,0.0351,0.0068
Spisula,1.3162,0.1732
Spisula,0.599,0.1171
Spisula,0.3423,0.0247
Spisula,0.0509,0.0043
Spisula,0.0416,0.0252
Boccardiella,0.0105,0.0011
Boccardiella,0.0332,0.0031
Boccardiella,0.0084,0.0016
Boccardiella,0.0131,0.0013
Boccardiella,0.0165,0.0022
Ficopomatus,0.5609,0.0346
Mysidacea,0.0073,0.0018
Mysidacea,0.0212,0.0026
Mysidacea,0.0153,0.0029
Mysidacea,0.0171,0.0032
Mysidacea,0.0138,0.0014
Mysidacea,0.0081,0.0013
Mysidacea,0.0189,0.0031
Mysidacea,0.0144,0.0047
Mysidacea,0.02,0.0046
Mysidacea,0.0112,0.0017
Mysidacea,0.0894,0.0147
Mysidacea,0.0327,0.0063
Mysidacea,0.0184,0.003
Mysidacea,0.0068,0.0014
Mysidacea,0.0585,0.0085
Mysidacea,0.0739,0.0129
Mysidacea,0.0607,0.009
Mysidacea,0.0199,0.0034
Mysidacea,0.0533,0.0088
Mysidacea,0.0384,0.0032
Mysidacea,0.0127,0.0023
Mysidacea,0.0374,0.0045
Mysidacea,0.0089,0.0022
Mysidacea,0.0077,0.0018
Mysidacea,0.0109,0.0028
Mysidacea,0.0377,0.0045
Mysidacea,0.0065,0.0015
Mysidacea,0.0395,0.005
Mysidacea,0.028,0.0043
Mysidacea,0.0101,0.0018
Mysidacea,0.0147,0.0012
Mysidacea,0.0134,0.002
Mysidacea,0.0171,0.0016
Mysidacea,0.0225,0.0016
Mysidacea,0.0136,0.0016
Mysidacea,0.0079,0.002
Mysidacea,0.0188,0.0013
Dolichopodidae,0.0118,0.0028
Stratiomyidae,0.0107,0.0036
Stratiomyidae,0.0058,0.0019
Stratiomyidae,0.0108,0.003
Stratiomyidae,0.0051,0.0021
