source,year,month,region,site,zone,replicate,preservation_method,taxa,individual_count,wm_shell_on_g,wm_g,dm_g,afdm_g,dm_wm,afdm_dm,afdm_wm,mesh_size_um,taxa_clean
Flinders-HCHB,2020,Feb,MM,PP,S,J2,Frozen,Simplisetia,585,NA,2.4156,0.2318,NA,0.095959596,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,S,J4,Frozen,Simplisetia,637,NA,1.9861,0.192,NA,0.096671869,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,I,rep1,Frozen,Simplisetia,308,NA,0.3294,0.023,NA,0.069823922,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,I,rep2,Frozen,Simplisetia,543,NA,1.1412,0.0789,NA,0.06913775,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,I,rep3,Frozen,Simplisetia,255,NA,0.5744,0.0343,NA,0.059714485,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,I,rep4,Frozen,Simplisetia,703,NA,1.1355,0.0714,NA,0.062879789,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,I,rep5,Frozen,Simplisetia,519,NA,1.0154,0.059,NA,0.05810518,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,I,J5,Frozen,Simplisetia,1074,NA,NA,NA,NA,NA,NA,NA,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,S,rep1,Frozen,Simplisetia,49,NA,0.482,0.0574,NA,0.119087137,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,S,rep2,Frozen,Simplisetia,42,NA,0.2999,0.0278,NA,0.092697566,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,S,rep4,Frozen,Simplisetia,40,NA,0.2691,0.0254,NA,0.094388703,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,LP,S,rep5,Frozen,Simplisetia,55,NA,0.335,0.0313,NA,0.093432836,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,NM,I,rep2,Frozen,Simplisetia,2,NA,0.0279,0.0094,NA,0.336917563,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,NM,I,rep5,Frozen,Simplisetia,2,NA,0.002,0,NA,0,NA,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,NM,S,rep1,Frozen,Simplisetia,4,NA,0.0134,0.001,NA,0.074626866,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,NM,S,rep2,Frozen,Simplisetia,5,NA,0.1025,0.0051,NA,0.049756098,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,NM,S,rep3,Frozen,Simplisetia,3,NA,0.0182,5e-4,NA,0.027472527,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,NM,S,rep4,Frozen,Simplisetia,4,NA,0.1237,0.005,NA,0.040420372,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,NL,NM,S,rep5,Frozen,Simplisetia,8,NA,0.0728,0.0051,NA,0.070054945,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,I,rep3,Frozen,Capitella,1,NA,NA,NA,NA,NA,NA,NA,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,I,rep1,Frozen,Capitella,29,NA,0.0109,9e-4,NA,0.082568807,0,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,I,rep2,Frozen,Capitella,31,NA,0.0075,0,NA,0,NA,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,I,rep3,Frozen,Capitella,25,NA,0.0052,0.0018,NA,0.346153846,0,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,I,rep4,Frozen,Capitella,22,NA,0.0252,0.001,NA,0.03968254,0,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,I,rep5,Frozen,Capitella,29,NA,0.0082,0,NA,0,NA,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,I,J1,Frozen,Capitella,33,NA,0.0232,4e-4,NA,0.017241379,0,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,I,J5,Frozen,Capitella,24,NA,0.0295,0.001,NA,0.033898305,0,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,S,rep1,Frozen,Capitella,5,NA,0.0027,9e-4,NA,0.333333333,0,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,S,rep3,Frozen,Capitella,1,NA,NA,NA,NA,NA,NA,NA,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,S,rep5,Frozen,Capitella,1,NA,NA,NA,NA,NA,NA,NA,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,S,J2,Frozen,Capitella,2,NA,7e-4,1e-4,NA,0.142857143,0,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,PP,S,J4,Frozen,Capitella,5,NA,0.0038,4e-4,NA,0.105263158,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,I,rep1,Frozen,Capitella,219,NA,0.0194,0.0015,NA,0.077319588,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,I,rep2,Frozen,Capitella,447,NA,0.1212,0.0074,NA,0.061056106,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,I,rep3,Frozen,Capitella,75,NA,0.0312,0.0016,NA,0.051282051,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,I,rep4,Frozen,Capitella,1003,NA,0.0907,0.0098,NA,0.108048512,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,I,rep5,Frozen,Capitella,529,NA,0.2818,0.0137,NA,0.04861604,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,I,J5,Frozen,Capitella,800,NA,NA,NA,NA,NA,NA,NA,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,S,rep1,Frozen,Capitella,615,NA,0.2619,0.0141,NA,0.053837342,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,S,rep2,Frozen,Capitella,563,NA,0.1671,0.0111,NA,0.066427289,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,S,rep4,Frozen,Capitella,305,NA,0.0593,0.0036,NA,0.060708263,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,LP,S,rep5,Frozen,Capitella,554,NA,0.2022,0.0098,NA,0.048466864,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,I,rep1,Frozen,Capitella,417,NA,0.2399,0.0118,NA,0.049187161,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,I,rep2,Frozen,Capitella,641,NA,0.4026,0.0154,NA,0.038251366,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,I,rep3,Frozen,Capitella,373,NA,0.2582,0.0121,NA,0.046862897,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,I,rep4,Frozen,Capitella,1018,NA,0.4511,0.0254,NA,0.056306806,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,I,rep5,Frozen,Capitella,641,NA,0.1702,0.0055,NA,0.032314924,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,S,rep1,Frozen,Capitella,203,NA,0.1534,0.0088,NA,0.057366362,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,S,rep2,Frozen,Capitella,214,NA,0.1438,0.0068,NA,0.0472879,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,S,rep3,Frozen,Capitella,402,NA,0.249,0.0134,NA,0.053815261,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,S,rep4,Frozen,Capitella,869,NA,0.3416,0.0348,NA,0.101873536,0,0,500,Capitella
Flinders-HCHB,2020,Feb,NL,NM,S,rep5,Frozen,Capitella,746,NA,0.7215,0.0361,NA,0.05003465,0,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,B19,P,rep2,Frozen,Chironomidae,128,NA,0.0393,0.0066,NA,0.167938931,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,P,rep3,Frozen,Chironomidae,164,NA,0.047,0.008,NA,0.170212766,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,P,rep4,Frozen,Chironomidae,119,NA,0.0389,0.0069,NA,0.177377892,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,P,rep5,Frozen,Chironomidae,82,NA,0.0254,0.0048,NA,0.188976378,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,S,rep1,Frozen,Chironomidae,19,NA,0.0056,8e-4,NA,0.142857143,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,S,rep2,Frozen,Chironomidae,12,NA,0.0024,2e-4,NA,0.083333333,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,S,rep3,Frozen,Chironomidae,28,NA,0.0052,0.0013,NA,0.25,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,S,rep4,Frozen,Chironomidae,5,NA,0.0058,0.0031,NA,0.534482759,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,S,rep5,Frozen,Chironomidae,12,NA,0.0039,4e-4,NA,0.102564103,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,S,J1,Frozen,Chironomidae,14,NA,0.0016,1e-4,NA,0.0625,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,I,rep1,Frozen,Chironomidae,2,NA,2e-4,0,NA,0,NA,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,I,rep2,Frozen,Chironomidae,1,NA,NA,NA,NA,NA,NA,NA,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,I,rep4,Frozen,Chironomidae,5,NA,0.0024,3e-4,NA,0.125,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,I,rep5,Frozen,Chironomidae,3,NA,0,0,NA,NA,NA,NA,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,I,J1,Frozen,Chironomidae,4,NA,0.0022,5e-4,NA,0.227272727,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,I,J4,Frozen,Chironomidae,3,NA,0.0019,8e-4,NA,0.421052632,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,I,J5,Frozen,Chironomidae,1,NA,7e-4,0,NA,0,NA,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,PP,I,rep1,Frozen,Chironomidae,7,NA,0.0025,0,NA,0,NA,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,PP,I,rep2,Frozen,Chironomidae,3,NA,0.002,7e-4,NA,0.35,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,PP,I,rep3,Frozen,Chironomidae,1,NA,NA,NA,NA,NA,NA,NA,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,PP,I,rep4,Frozen,Chironomidae,1,NA,2e-4,1e-4,NA,0.5,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,PP,I,rep5,Frozen,Chironomidae,2,NA,0.0039,0.0027,NA,0.692307692,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,PP,S,rep3,Frozen,Chironomidae,1,NA,NA,NA,NA,NA,NA,NA,500,Chironomidae
Flinders-HCHB,2020,Feb,NL,NM,I,rep1,Frozen,Chironomidae,3,NA,0.0018,1e-4,NA,0.055555556,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,NL,NM,I,rep3,Frozen,Chironomidae,4,NA,0.0013,7e-4,NA,0.538461538,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,NL,NM,I,rep4,Frozen,Chironomidae,7,NA,0.0021,2e-4,NA,0.095238095,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,NL,NM,I,rep5,Frozen,Chironomidae,6,NA,0.0031,5e-4,NA,0.161290323,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,NL,NM,S,rep1,Frozen,Chironomidae,99,NA,0.082,0.015,NA,0.182926829,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,NL,NM,S,rep2,Frozen,Chironomidae,233,NA,0.1729,0.0309,NA,0.178716021,0,0,500,Chironomidae
