taxa_clean,n,mean_wm_wm_shell_on,lower_ci_mean_wm_wm_shell_on,upper_ci_mean_wm_wm_shell_on,sd_wm_wm_shell_on,geom_mean,min_wm_wm_shell_on,median_wm_wm_shell_on,max_wm_wm_shell_on,range_wm_shell_on
Hiatula alba,39,0.6000306072537717,0.5710430578747921,0.6290181566327512,0.08942289553946448,0.592291724548569,0.3161932965405842,0.6098233995584988,0.7799352750809061,0.016-6.315
Spisula,26,0.22077905771313175,0.18845735136477199,0.2531007640614915,0.08002229973436378,0.21037194024561287,0.12247034193998603,0.2099938410870854,0.5311025577352868,0.077-41.812
