taxa_clean,individual_count,wm_g,keep_data
Simplisetia,28,0.1286,TRUE
Simplisetia,14,0.0049,TRUE
Simplisetia,40,0.0379,TRUE
Simplisetia,26,0.399,TRUE
Simplisetia,38,0.6101,TRUE
Simplisetia,44,0.4232,TRUE
Simplisetia,52,1.1673,FALSE
Simplisetia,4,0.0185,TRUE
Simplisetia,3,0.005,TRUE
Simplisetia,18,0.0861,TRUE
Simplisetia,67,0.4013,TRUE
Simplisetia,15,0.16,TRUE
Simplisetia,87,0.4238,TRUE
Simplisetia,125,0.6435,TRUE
Simplisetia,32,0.4882,TRUE
Simplisetia,39,0.2968,TRUE
Simplisetia,67,0.3952,TRUE
Simplisetia,52,0.364,TRUE
Simplisetia,23,0.3807,TRUE
Simplisetia,7,0.0084,TRUE
Simplisetia,1,0.0422,TRUE
Simplisetia,1,0.0064,TRUE
Simplisetia,7,0.1789,TRUE
Simplisetia,40,0.3564,TRUE
Simplisetia,203,0.9387,TRUE
Simplisetia,72,0.8502,TRUE
Simplisetia,10,0.2977,TRUE
Simplisetia,20,0.0756,TRUE
Simplisetia,15,0.3072,TRUE
Simplisetia,34,0.0656,TRUE
Simplisetia,3,0.0108,TRUE
Simplisetia,5,0.0382,TRUE
Simplisetia,10,1.2297,FALSE
Simplisetia,15,1.0456,FALSE
Simplisetia,9,0.6384,TRUE
Simplisetia,14,0.1622,TRUE
Simplisetia,10,0.0366,TRUE
Simplisetia,5,0.0054,TRUE
Simplisetia,19,0.1268,TRUE
Simplisetia,10,0.0823,TRUE
Simplisetia,99,0.4289,TRUE
Simplisetia,68,0.3353,TRUE
Simplisetia,6,0.1751,TRUE
Simplisetia,13,0.1582,TRUE
Simplisetia,2,0.0079,TRUE
Simplisetia,80,0.2329,TRUE
Simplisetia,42,0.1959,TRUE
Simplisetia,36,0.2346,TRUE
Simplisetia,1,0.0105,TRUE
Simplisetia,1,0.0896,TRUE
Simplisetia,31,0.3249,TRUE
Simplisetia,50,0.2481,TRUE
Simplisetia,1,0.069,TRUE
Simplisetia,1,0.0173,TRUE
Simplisetia,1,0.0025,FALSE
Simplisetia,15,0.2086,TRUE
Simplisetia,103,0.473,TRUE
Simplisetia,75,1.05,TRUE
Simplisetia,93,0.4396,TRUE
Simplisetia,28,0.4549,TRUE
Simplisetia,65,0.2205,TRUE
Simplisetia,41,0.2121,TRUE
Simplisetia,34,0.0489,TRUE
Simplisetia,84,0.2904,TRUE
Simplisetia,66,0.1178,TRUE
