taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_dm_wm_shell_on,lower_ci_mean_dm_wm_shell_on,upper_ci_mean_dm_wm_shell_on,sd_dm_wm_shell_on,geom_mean,min_dm_wm_shell_on,median_dm_wm_shell_on,max_dm_wm_shell_on,range_wm_shell_on,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Hiatula alba,38,0.9632963294301681,1.1990366807414423e-27,1.0610215730404502,0.03403099506265469,0.9920035161064849,1.1300396299744155,-2.479435959256344,0.0589568911593918,-2.599006076533164,-2.3598658419795244,0.083790473507057,0.07434743716567914,0.09443289127628249,1.0590388275264981,0.08613642332651493,0.07610261740161538,0.09617022925141447,0.030526484958914427,0.08107116361610876,0.040372670807453416,0.08130214413801229,0.1675496688741722,0.024-6.315,5.611678638289617,11.860647151709767,30.612607525940234,-3.467494658212401,13.019283510878696,31.951801475847418
Hiatula alba_outliers_removed,31,0.9626442904137322,1.820329563427779e-22,1.0793618462714833,0.03879460281766691,1.000017974634026,1.1587057179089406,-2.470300158500474,0.060927647225935085,-2.594911188632361,-2.345689128368587,0.08455947394708452,0.07465250577117022,0.09578117385805174,1.0461932128410434,0.08435706077244551,0.07455678009998204,0.09415734144490896,0.026718106737187178,0.08028211282842816,0.040372670807453416,0.08140531276778064,0.14376270781007058,0.036-3.460,2.638437166297406,9.270649561992101,26.297647575543383,-6.917893159638078,10.683831412934534,28.03478499606763
Spisula,26,0.8934010649702322,2.2343869537462683e-13,1.0502333359282539,0.07238274955556168,0.9008426832338485,1.1996239886226592,-3.556724442207999,0.11583052897835482,-3.795786904359039,-3.3176619800569593,0.028532130458826587,0.022465220879234252,0.03623745668452331,1.1485010413168026,0.03403514872801838,0.02597648457139139,0.04209381288464537,0.01995169536069078,0.029554023384566794,0.012603528988116673,0.025735541672703893,0.08321360153256706,0.077-41.812,28.482949528122436,29.156341222231674,52.91012717449419,17.782091015422157,29.877067396700678,53.74072408591727
Spisula_outliers_removed,21,0.8809304950494963,1.9444414706556567e-10,1.101332999630021,0.09023406566759001,0.9124709296606961,1.2901950695993458,-3.643320511965404,0.11398488232927684,-3.881893612519481,-3.4047474114113268,0.02616531730991742,0.020611757521789786,0.03321520880521284,1.1128472304465837,0.03087649496775756,0.023791136527267744,0.03796185340824738,0.015565561046621983,0.027641575265963367,0.012603528988116673,0.025125804975894714,0.06710951080208592,0.211-15.766,13.47780410338871,22.033837352250423,44.30256568357917,2.2387376608435794,23.56830758281976,46.55031432927615
