taxa_clean,n,mean_dm_wm_shell_on,lower_ci_mean_dm_wm_shell_on,upper_ci_mean_dm_wm_shell_on,sd_dm_wm_shell_on,geom_mean,min_dm_wm_shell_on,median_dm_wm_shell_on,max_dm_wm_shell_on,range_wm_shell_on
Hiatula alba,31,0.08435706077244551,0.07455678009998204,0.09415734144490896,0.026718106737187178,0.08028211282842816,0.040372670807453416,0.08140531276778064,0.14376270781007058,0.036-3.460
Spisula,21,0.03087649496775756,0.023791136527267744,0.03796185340824738,0.015565561046621983,0.027641575265963367,0.012603528988116673,0.025125804975894714,0.06710951080208592,0.211-15.766
