taxa_clean,n,mean_dm_wm_shell_on,lower_ci_mean_dm_wm_shell_on,upper_ci_mean_dm_wm_shell_on,sd_dm_wm_shell_on,geom_mean,min_dm_wm_shell_on,median_dm_wm_shell_on,max_dm_wm_shell_on,range_wm_shell_on
Hiatula alba,38,0.08613642332651493,0.07610261740161538,0.09617022925141447,0.030526484958914427,0.08107116361610876,0.040372670807453416,0.08130214413801229,0.1675496688741722,0.024-6.315
Spisula,26,0.03403514872801838,0.02597648457139139,0.04209381288464537,0.01995169536069078,0.029554023384566794,0.012603528988116673,0.025735541672703893,0.08321360153256706,0.077-41.812
