taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_wm_wm_shell_on,lower_ci_mean_wm_wm_shell_on,upper_ci_mean_wm_wm_shell_on,sd_wm_wm_shell_on,geom_mean,min_wm_wm_shell_on,median_wm_wm_shell_on,max_wm_wm_shell_on,range_wm_shell_on,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Salinator (shell removed),15,0.9797015884419036,1.3474260582867818e-12,1.0200204969586368,0.03921099630478355,0.9353102895531041,1.1047307043641696,-0.7473995200181416,0.036641643643594395,-0.826558978467042,-0.6682400615692412,0.47359653107939714,0.4375523258177572,0.5126099463218438,1.0051767915290846,0.4706293232175773,0.444116156131817,0.4971424903033375,0.0478765814599739,0.4681573668507998,0.35436893203883496,0.48484848484848486,0.5228215767634855,0.198-2.558,-0.16581612978963337,1.0867089076344887,8.370958198531362,-1.4977660867013407,1.1087977673261047,8.413243997237993
Salinator (shell removed)_outliers_removed,11,0.8114114621578112,9.534464708886769e-5,1.0421862410813647,0.15706999373540367,0.6868692296921521,1.3975032524705773,-0.7353346137264297,0.13903060980086146,-1.0498437035356507,-0.4208255239172087,0.47934503670766626,0.34999244741854846,0.6565046357743112,1.006189616695909,0.46532397644070334,0.43017950198659827,0.5004684508948084,0.05231318286766045,0.4624290332586309,0.35436893203883496,0.4801223241590214,0.5228215767634855,0.310-0.723,-0.1948605013677992,1.3010198638634807,9.119982833179044,-0.4552289126187663,1.3115031982793708,9.187878815799825
Spisula,24,0.9832897611872806,2.9474954259511887e-21,1.000296020587253,0.027180335092140254,0.9439274556630567,1.0566645855114494,-2.1132666957483175,0.03830039087356058,-2.192696844871192,-2.033836546625443,0.12084256506350653,0.11161533312591301,0.13083261163279675,1.014054678872741,0.12252460716998297,0.11394291624489607,0.13110629809506985,0.02032309628317628,0.12082672163147434,0.07317073170731708,0.12286104665032857,0.17391304347826086,0.009-4.035,-0.7012519980679108,2.963710588303138,12.468338958455647,-0.7248587950928956,2.9637185253042095,12.474434386883251
Spisula_outliers_removed,20,0.96345474225053,1.3467904158645842e-14,0.9608275530451494,0.04288796345983413,0.8707232853513316,1.0509318207389673,-2.141844145295282,0.04507073663523568,-2.2365342492621476,-2.047154041328416,0.11743807033815046,0.10682810311795592,0.1291017996408684,1.0140387760430494,0.12133250313045589,0.11151218717213675,0.13115281908877502,0.020982935190905157,0.11952655146350138,0.07317073170731708,0.12286104665032857,0.17391304347826086,0.046-1.564,-0.3437909158319003,3.0474937928297967,12.841347652388501,1.3709554337543122,3.1873479482268054,12.688008837585127
