taxa_clean,n,mean_wm_wm_shell_on,lower_ci_mean_wm_wm_shell_on,upper_ci_mean_wm_wm_shell_on,sd_wm_wm_shell_on,geom_mean,min_wm_wm_shell_on,median_wm_wm_shell_on,max_wm_wm_shell_on,range_wm_shell_on
Salinator (shell removed),11,0.46532397644070334,0.43017950198659827,0.5004684508948084,0.05231318286766045,0.4624290332586309,0.35436893203883496,0.4801223241590214,0.5228215767634855,0.310-0.723
Spisula,20,0.12133250313045589,0.11151218717213675,0.13115281908877502,0.020982935190905157,0.11952655146350138,0.07317073170731708,0.12286104665032857,0.17391304347826086,0.046-1.564
