taxa_clean,n,mean_wm_wm_shell_on,lower_ci_mean_wm_wm_shell_on,upper_ci_mean_wm_wm_shell_on,sd_wm_wm_shell_on,geom_mean,min_wm_wm_shell_on,median_wm_wm_shell_on,max_wm_wm_shell_on,range_wm_shell_on
Salinator (shell removed),15,0.4706293232175773,0.444116156131817,0.4971424903033375,0.0478765814599739,0.4681573668507998,0.35436893203883496,0.48484848484848486,0.5228215767634855,0.198-2.558
Spisula,24,0.12252460716998297,0.11394291624489607,0.13110629809506985,0.02032309628317628,0.12082672163147434,0.07317073170731708,0.12286104665032857,0.17391304347826086,0.009-4.035
