taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_afdm_wm_shell_on,lower_ci_mean_afdm_wm_shell_on,upper_ci_mean_afdm_wm_shell_on,sd_afdm_wm_shell_on,geom_mean,min_afdm_wm_shell_on,median_afdm_wm_shell_on,max_afdm_wm_shell_on,range_wm_shell_on,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Salinator (shell removed),15,0.97807533578444,2.2251280690353096e-12,1.0186799864502172,0.04072927410267686,0.9306897392783124,1.106670233622122,-2.623905640152573,0.03806043427033501,-2.706130209401567,-2.5416810709035786,0.07251907558931188,0.06679478907099383,0.07873393115649648,1.0057985130171658,0.07216322031069526,0.06772854760488167,0.07659789301650885,0.008007982160767159,0.0717416742951708,0.058064516129032254,0.07330567081604426,0.0856269113149847,0.198-2.558,0.6739990804211669,1.1709998307385687,9.35108524465074,-0.5808255411133133,1.189990567450654,9.409420132902293
Salinator (shell removed)_outliers_removed,12,0.9489636915914866,5.396389258419021e-8,1.0291367287284074,0.07178479699777386,0.8691902335557199,1.189083223901095,-2.604563894596547,0.062316679148806266,-2.7434141085347648,-2.465713680658329,0.07393537378378376,0.06435027261325443,0.08494819484916803,1.005777731887391,0.07280905009464476,0.06768680807780034,0.0779312921114892,0.008061829386863515,0.07238707703251367,0.058064516129032254,0.07364263132638948,0.0856269113149847,0.310-1.919,0.8327438531032997,1.1706044794311292,9.095257016909198,-0.1940039473409102,1.1901401308112796,8.912574601810656
Spisula,23,0.9370536322385674,2.6605712210735354e-14,0.8679060877642252,0.04788532953423571,0.7683230935054813,0.967489082022969,-4.0891032439551145,0.050386904245327706,-4.193888547616666,-3.984317940293563,0.01675425130007987,0.015087502186809884,0.01860512980549105,1.0261970511423357,0.01804340280714421,0.015313894885119644,0.020772910729168776,0.006311987140469966,0.017333668394716492,0.01278772378516624,0.0166358595194085,0.043478260869565216,0.046-4.035,-1.0413904152945388,5.130520705837593,19.749148085777207,8.410421379266694,7.233377970851708,20.39687137027604
Spisula_outliers_removed,18,0.8631613613019496,1.5796875468190473e-8,1.1049879194030914,0.10621255184545753,0.8798273679020938,1.330148470904089,-4.085960747127333,0.04690747334460781,-4.185400148443647,-3.9865213458110196,0.016806984294880548,0.015216116018416994,0.018564180290585652,1.015325126990375,0.0167969527310292,0.015225369781636324,0.018368535680422078,0.003160305495101391,0.016524622300394146,0.01278772378516624,0.015993368356195477,0.023153252480705624,0.287-1.564,0.43979842608689423,3.0901621673217665,15.392549794326946,-0.981963650582868,3.2786300188600577,16.252616318405277
