taxa_clean,n,mean_afdm_wm_shell_on,lower_ci_mean_afdm_wm_shell_on,upper_ci_mean_afdm_wm_shell_on,sd_afdm_wm_shell_on,geom_mean,min_afdm_wm_shell_on,median_afdm_wm_shell_on,max_afdm_wm_shell_on,range_wm_shell_on
Salinator (shell removed),12,0.07280905009464476,0.06768680807780034,0.0779312921114892,0.008061829386863515,0.07238707703251367,0.058064516129032254,0.07364263132638948,0.0856269113149847,0.310-1.919
Spisula,18,0.0167969527310292,0.015225369781636324,0.018368535680422078,0.003160305495101391,0.016524622300394146,0.01278772378516624,0.015993368356195477,0.023153252480705624,0.287-1.564
