taxa_clean,n,mean_afdm_wm_shell_on,lower_ci_mean_afdm_wm_shell_on,upper_ci_mean_afdm_wm_shell_on,sd_afdm_wm_shell_on,geom_mean,min_afdm_wm_shell_on,median_afdm_wm_shell_on,max_afdm_wm_shell_on,range_wm_shell_on
Salinator (shell removed),15,0.07216322031069526,0.06772854760488167,0.07659789301650885,0.008007982160767159,0.0717416742951708,0.058064516129032254,0.07330567081604426,0.0856269113149847,0.198-2.558
Spisula,23,0.01804340280714421,0.015313894885119644,0.020772910729168776,0.006311987140469966,0.017333668394716492,0.01278772378516624,0.0166358595194085,0.043478260869565216,0.046-4.035
