taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_dm_wm_shell_on,lower_ci_mean_dm_wm_shell_on,upper_ci_mean_dm_wm_shell_on,sd_dm_wm_shell_on,geom_mean,min_dm_wm_shell_on,median_dm_wm_shell_on,max_dm_wm_shell_on,range_wm_shell_on,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Salinator (shell removed),15,0.9810849579184096,8.511446808286287e-13,0.9877634079222462,0.03663029618893723,0.9086284641587177,1.0668983516857746,-1.8733527969786172,0.03423004733370191,-1.9473023183475846,-1.7994032756096499,0.15360778177125164,0.14265839990369317,0.1653975555355547,1.0047280773526768,0.15543497158157032,0.146712143337338,0.16415779982580267,0.015751388570271776,0.15469611631873917,0.13114754098360656,0.15051020408163263,0.18085106382978725,0.198-2.558,-0.3058364650802898,0.9460320286672744,8.933385146212167,0.5134610216234848,0.9542371158545677,8.769514580172046
Salinator (shell removed)_outliers_removed,11,0.8649534466060054,2.074234046142357e-5,1.0842496049266686,0.13443442644514977,0.7801378042171047,1.3883614056362323,-1.8036695856025582,0.11899472230440013,-2.07285434899864,-1.5344848222064762,0.1646934213868669,0.125826116993882,0.2155667177540808,1.004763276055416,0.15405657132148484,0.14311481422075406,0.16499832842221562,0.01628700240919928,0.1532905618425304,0.13114754098360656,0.14893617021276595,0.18085106382978725,0.310-0.723,-0.2133866129833197,0.9504567286978841,8.30684854441534,-0.7350534454507115,0.9919067371927117,8.828484034548403
Spisula,23,0.9128477782528832,8.1962021918912e-13,0.928423036353224,0.061028726471711016,0.8015068518565551,1.0553392208498928,-3.6235666687315393,0.06421692461666964,-3.7571130742301992,-3.4900202632328794,0.026687321708393632,0.023351055925749323,0.030500254131203424,1.0426101588425847,0.028503325301260537,0.024125985489667927,0.03288066511285315,0.010122598427831605,0.027183530746682227,0.016501650165016504,0.02680067001675042,0.06521739130434782,0.046-4.035,0.14244966259724473,8.475820391498308,24.162084836456803,5.100818293787944,9.153548841958008,23.778311191156657
Spisula_outliers_removed,19,0.8426397951816543,1.8791650680071217e-8,1.067475046417686,0.10816996665003883,0.8392563657257238,1.2956937271096485,-3.6279675024692657,0.050210859952967986,-3.7339031569744447,-3.5220318479640866,0.026570133295146688,0.023899370555667286,0.029539354673692637,1.0198475730911305,0.026901062784390327,0.02430405705461068,0.029498068514169973,0.00538815116176649,0.02636885397830324,0.016501650165016504,0.02680067001675042,0.03547854785478548,0.287-2.146,0.19480241680492205,4.110358783115525,16.757430774324913,-1.0338021588859219,4.207986726139836,16.922138439835653
