taxa_clean,n,mean_dm_wm_shell_on,lower_ci_mean_dm_wm_shell_on,upper_ci_mean_dm_wm_shell_on,sd_dm_wm_shell_on,geom_mean,min_dm_wm_shell_on,median_dm_wm_shell_on,max_dm_wm_shell_on,range_wm_shell_on
Salinator (shell removed),11,0.15405657132148484,0.14311481422075406,0.16499832842221562,0.01628700240919928,0.1532905618425304,0.13114754098360656,0.14893617021276595,0.18085106382978725,0.310-0.723
Spisula,19,0.026901062784390327,0.02430405705461068,0.029498068514169973,0.00538815116176649,0.02636885397830324,0.016501650165016504,0.02680067001675042,0.03547854785478548,0.287-2.146
